
 ----- CONTAMINATION RESULTS for Q2 = 7.5 -----

  Cut | 1pi Total | 2pi Total | Contamination
 11.6 |       4.9 |     4.922 |      1.000000
 11.6 |       5.2 |     5.176 |      1.000000
 11.6 |       5.4 |     5.389 |      1.000000
 11.6 |       5.6 |     5.617 |      1.000000
 11.6 |       5.8 |     5.835 |      1.000000
 11.6 |       6.1 |     6.053 |      1.000000
 11.6 |       6.3 |     6.250 |      1.000000
 11.6 |       6.4 |     6.449 |      1.000000
 11.6 |       6.6 |     6.619 |      1.000000
 11.7 |       6.9 |     6.856 |      1.000000
 11.7 |       7.0 |     7.046 |      1.000000
 11.7 |       7.2 |     7.234 |      1.000000
 11.7 |       7.4 |     7.429 |      1.000000
 11.7 |       7.6 |     7.612 |      1.000000
 11.7 |       7.8 |     7.794 |      1.000000
 11.7 |       8.0 |     7.961 |      1.000000
 11.7 |       8.1 |     8.086 |      1.000000
 11.7 |       8.3 |     8.250 |      1.000000
 11.7 |       8.4 |     8.413 |      1.000000
 11.8 |       8.6 |     8.595 |      1.000000
 11.8 |       8.7 |     8.735 |      1.000000
 11.8 |       8.9 |     8.922 |      1.000000
 11.8 |       9.1 |     9.114 |      1.000000
 11.8 |       9.3 |     9.252 |      1.000000
 11.8 |       9.4 |     9.411 |      1.000000
 11.8 |       9.6 |     9.561 |      1.000000
 11.8 |       9.7 |     9.710 |      1.000000
 11.8 |       9.9 |     9.859 |      1.000000
 11.8 |      10.0 |    10.017 |      1.000000
 11.9 |      10.2 |    10.156 |      1.000000
 11.9 |      10.3 |    10.291 |      1.000000
 11.9 |      10.4 |    10.391 |      1.000000
 11.9 |      10.5 |    10.520 |      1.000000
 11.9 |      10.7 |    10.660 |      1.000000
 11.9 |      10.8 |    10.777 |      1.000000
 11.9 |      10.9 |    10.896 |      1.000000
 11.9 |      11.0 |    10.987 |      1.000000
 11.9 |      11.1 |    11.090 |      1.000000
 11.9 |      11.2 |    11.192 |      1.000000
 12.0 |      11.3 |    11.278 |      1.000000
 12.0 |      11.4 |    11.376 |      1.000000
 12.0 |      11.5 |    11.473 |      1.000000
 12.0 |      11.6 |    11.590 |      1.000000
 12.0 |      11.7 |    11.714 |      1.000000
 12.0 |      11.8 |    11.805 |      1.000000
 12.0 |      11.9 |    11.894 |      1.000000
 12.0 |      12.0 |    11.970 |      1.000000
 12.0 |      12.0 |    12.045 |      1.000000
 12.0 |      12.1 |    12.146 |      1.000000
 12.1 |      12.2 |    12.242 |      1.000000
 12.1 |      12.3 |    12.337 |      1.000000
 12.1 |      12.4 |    12.419 |      1.000000
 12.1 |      12.5 |    12.502 |      1.000000
 12.1 |      12.6 |    12.560 |      1.000000
 12.1 |      12.6 |    12.638 |      1.000000
 12.1 |      12.7 |    12.690 |      1.000000
 12.1 |      12.8 |    12.772 |      1.000000
 12.1 |      12.8 |    12.835 |      1.000000
 12.1 |      12.9 |    12.892 |      1.000000
 12.2 |      13.0 |    12.951 |      1.000000
 12.2 |      13.0 |    12.987 |      1.000000
 12.2 |      13.0 |    13.042 |      1.000000
 12.2 |      13.1 |    13.113 |      1.000000
 12.2 |      13.2 |    13.163 |      1.000000
 12.2 |      13.2 |    13.228 |      1.000000
 12.2 |      13.3 |    13.266 |      1.000000
 12.2 |      13.3 |    13.310 |      1.000000
 12.2 |      13.4 |    13.364 |      1.000000
 12.2 |      13.4 |    13.414 |      1.000000
 12.3 |      13.5 |    13.476 |      1.000000
 12.3 |      13.5 |    13.521 |      1.000000
 12.3 |      13.6 |    13.576 |      1.000000
 12.3 |      13.6 |    13.618 |      1.000000
 12.3 |      13.7 |    13.667 |      1.000000
 12.3 |      13.7 |    13.715 |      1.000000
 12.3 |      13.8 |    13.751 |      1.000000
 12.3 |      13.8 |    13.776 |      1.000000
 12.3 |      13.8 |    13.816 |      1.000000
 12.3 |      13.9 |    13.853 |      1.000000
 12.4 |      13.9 |    13.900 |      1.000000
 12.4 |      13.9 |    13.925 |      1.000000
 12.4 |      14.0 |    13.959 |      1.000000
 12.4 |      14.0 |    13.993 |      1.000000
 12.4 |      14.0 |    14.027 |      1.000000
 12.4 |      14.1 |    14.066 |      1.000000
 12.4 |      14.1 |    14.085 |      1.000000
 12.4 |      14.1 |    14.108 |      1.000000
 12.4 |      14.1 |    14.125 |      1.000000
 12.4 |      14.2 |    14.151 |      1.000000
 12.5 |      14.2 |    14.172 |      1.000000
 12.5 |      14.2 |    14.200 |      1.000000
 12.5 |      14.2 |    14.226 |      1.000000
 12.5 |      14.2 |    14.248 |      1.000000

