
 ----- CONTAMINATION RESULTS for Q2 = 7.5 -----

  Cut | 1pi Total | 2pi Total | Contamination
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.002 |      1.000000
 11.2 |       0.0 |     0.002 |      1.000000
 11.2 |       0.0 |     0.002 |      1.000000
 11.2 |       0.0 |     0.002 |      1.000000
 11.2 |       0.0 |     0.005 |      1.000000
 11.2 |       0.0 |     0.008 |      1.000000
 11.3 |       0.0 |     0.013 |      1.000000
 11.3 |       0.0 |     0.030 |      1.000000
 11.3 |       0.1 |     0.058 |      1.000000
 11.3 |       0.1 |     0.103 |      1.000000
 11.3 |       0.1 |     0.137 |      1.000000
 11.3 |       0.2 |     0.203 |      1.000000
 11.3 |       0.3 |     0.274 |      1.000000
 11.3 |       0.3 |     0.340 |      1.000000
 11.3 |       0.4 |     0.447 |      1.000000
 11.3 |       0.6 |     0.561 |      1.000000
 11.4 |       0.7 |     0.704 |      1.000000
 11.4 |       0.9 |     0.886 |      1.000000
 11.4 |       1.0 |     1.038 |      1.000000
 11.4 |       1.2 |     1.182 |      1.000000
 11.4 |       1.3 |     1.335 |      1.000000
 11.4 |       1.5 |     1.530 |      1.000000
 11.4 |       1.7 |     1.694 |      1.000000
 11.4 |       1.9 |     1.873 |      1.000000
 11.4 |       2.1 |     2.080 |      1.000000
 11.4 |       2.3 |     2.305 |      1.000000
 11.5 |       2.5 |     2.528 |      1.000000
 11.5 |       2.7 |     2.733 |      1.000000
 11.5 |       2.9 |     2.942 |      1.000000
 11.5 |       3.2 |     3.168 |      1.000000
 11.5 |       3.3 |     3.347 |      1.000000
 11.5 |       3.6 |     3.572 |      1.000000
 11.5 |       3.8 |     3.788 |      1.000000
 11.5 |       4.0 |     4.023 |      1.000000
 11.5 |       4.2 |     4.241 |      1.000000
 11.5 |       4.5 |     4.470 |      1.000000
 11.6 |       4.7 |     4.696 |      1.000000
