
 ----- CONTAMINATION RESULTS for Q2 = 6.5 -----

  Cut | 1pi Total | 2pi Total | Contamination
  0.9 |     0.000 |     0.000 |           nan
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.001 |     0.000 |      0.000000
  0.9 |     0.003 |     0.000 |      0.000000
  0.9 |     0.022 |     0.000 |      0.001809
  0.9 |     0.583 |     0.000 |      0.000148
  1.0 |     1.030 |     0.000 |      0.000105
  1.0 |     1.127 |     0.000 |      0.000204
  1.0 |     1.183 |     0.000 |      0.000282
  1.0 |     1.229 |     0.000 |      0.000341
  1.0 |     1.259 |     0.001 |      0.000574
  1.0 |     1.289 |     0.001 |      0.000713
  1.0 |     1.316 |     0.001 |      0.000990
  1.0 |     1.340 |     0.002 |      0.001253
  1.0 |     1.360 |     0.002 |      0.001720
  1.0 |     1.380 |     0.003 |      0.002240
  1.1 |     1.399 |     0.004 |      0.002816
  1.1 |     1.417 |     0.005 |      0.003692
  1.1 |     1.433 |     0.006 |      0.004480
  1.1 |     1.447 |     0.008 |      0.005438
  1.1 |     1.461 |     0.010 |      0.006575
  1.1 |     1.474 |     0.011 |      0.007687
  1.1 |     1.490 |     0.013 |      0.008624
  1.1 |     1.501 |     0.015 |      0.009771
  1.1 |     1.513 |     0.017 |      0.010944
  1.1 |     1.520 |     0.019 |      0.012246
  1.2 |     1.532 |     0.021 |      0.013396
  1.2 |     1.541 |     0.023 |      0.014894
  1.2 |     1.549 |     0.025 |      0.016071
  1.2 |     1.558 |     0.027 |      0.017653
  1.2 |     1.568 |     0.030 |      0.019025
  1.2 |     1.576 |     0.033 |      0.020703
  1.2 |     1.583 |     0.035 |      0.022424
  1.2 |     1.593 |     0.038 |      0.023889
  1.2 |     1.599 |     0.040 |      0.025323
  1.2 |     1.606 |     0.043 |      0.026655
  1.3 |     1.611 |     0.045 |      0.028073
  1.3 |     1.616 |     0.048 |      0.029419
  1.3 |     1.620 |     0.051 |      0.031301
  1.3 |     1.625 |     0.054 |      0.033111
  1.3 |     1.629 |     0.057 |      0.034769
  1.3 |     1.632 |     0.059 |      0.036346
  1.3 |     1.639 |     0.062 |      0.037885
  1.3 |     1.645 |     0.065 |      0.039379
  1.3 |     1.652 |     0.067 |      0.040699
  1.3 |     1.657 |     0.070 |      0.042243
  1.4 |     1.661 |     0.073 |      0.043895
  1.4 |     1.666 |     0.075 |      0.045298
  1.4 |     1.669 |     0.078 |      0.046838
  1.4 |     1.672 |     0.081 |      0.048195
  1.4 |     1.674 |     0.083 |      0.049487
  1.4 |     1.678 |     0.085 |      0.050755
  1.4 |     1.682 |     0.087 |      0.052000
  1.4 |     1.684 |     0.090 |      0.053192
  1.4 |     1.686 |     0.092 |      0.054471
  1.4 |     1.688 |     0.094 |      0.055635
  1.5 |     1.689 |     0.096 |      0.056806
  1.5 |     1.690 |     0.098 |      0.057878
  1.5 |     1.693 |     0.099 |      0.058774
  1.5 |     1.694 |     0.101 |      0.059579
  1.5 |     1.695 |     0.103 |      0.060524
  1.5 |     1.696 |     0.104 |      0.061346
  1.5 |     1.697 |     0.106 |      0.062225
  1.5 |     1.698 |     0.107 |      0.062969
  1.5 |     1.700 |     0.108 |      0.063630
  1.5 |     1.701 |     0.109 |      0.064275
  1.6 |     1.703 |     0.111 |      0.064959
  1.6 |     1.704 |     0.112 |      0.065531
  1.6 |     1.704 |     0.112 |      0.066013
  1.6 |     1.705 |     0.113 |      0.066507
  1.6 |     1.706 |     0.114 |      0.066841
  1.6 |     1.707 |     0.115 |      0.067274
  1.6 |     1.707 |     0.115 |      0.067540
  1.6 |     1.707 |     0.116 |      0.067817
  1.6 |     1.707 |     0.116 |      0.068058
  1.6 |     1.708 |     0.117 |      0.068249
  1.7 |     1.708 |     0.117 |      0.068459
  1.7 |     1.708 |     0.117 |      0.068650
  1.7 |     1.708 |     0.117 |      0.068753
  1.7 |     1.708 |     0.118 |      0.068850
  1.7 |     1.708 |     0.118 |      0.068943
  1.7 |     1.709 |     0.118 |      0.069018
  1.7 |     1.709 |     0.118 |      0.069087
  1.7 |     1.709 |     0.118 |      0.069121

