
 ----- CONTAMINATION RESULTS for Q2 = 8.5 -----

  Cut | 1pi Total | 2pi Total | Contamination
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.0 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.1 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.000 |           nan
 11.2 |       0.0 |     0.001 |      1.000000
 11.3 |       0.0 |     0.003 |      1.000000
 11.3 |       0.0 |     0.011 |      1.000000
 11.3 |       0.0 |     0.021 |      1.000000
 11.3 |       0.0 |     0.027 |      1.000000
 11.3 |       0.0 |     0.042 |      1.000000
 11.3 |       0.1 |     0.060 |      1.000000
 11.3 |       0.1 |     0.080 |      1.000000
 11.3 |       0.1 |     0.110 |      1.000000
 11.3 |       0.1 |     0.141 |      1.000000
 11.3 |       0.2 |     0.172 |      1.000000
 11.4 |       0.2 |     0.220 |      1.000000
 11.4 |       0.3 |     0.261 |      1.000000
 11.4 |       0.3 |     0.308 |      1.000000
 11.4 |       0.4 |     0.358 |      1.000000
 11.4 |       0.4 |     0.413 |      1.000000
 11.4 |       0.5 |     0.486 |      1.000000
 11.4 |       0.6 |     0.564 |      1.000000
 11.4 |       0.6 |     0.639 |      1.000000
 11.4 |       0.7 |     0.714 |      1.000000
 11.4 |       0.8 |     0.791 |      1.000000
 11.5 |       0.9 |     0.866 |      1.000000
 11.5 |       0.9 |     0.943 |      1.000000
 11.5 |       1.0 |     1.046 |      1.000000
 11.5 |       1.1 |     1.139 |      1.000000
 11.5 |       1.2 |     1.226 |      1.000000
 11.5 |       1.3 |     1.304 |      1.000000
 11.5 |       1.4 |     1.382 |      1.000000
 11.5 |       1.5 |     1.470 |      1.000000
 11.5 |       1.6 |     1.566 |      1.000000
 11.5 |       1.7 |     1.656 |      1.000000
 11.6 |       1.7 |     1.730 |      1.000000
