x,Q2,W,miss_mass,phih,pt2,t,secondary_pips,secondary_pims,secondary_pizs,secondary_esum,accepted
0.3632,3.9327,2.7885,11.6435,3.1033,0.0324,-0.4794,0,1,0,0.37992,1
0.5077,4.6081,2.3128,12.1327,-0.3338,0.0311,-1.2135,0,1,0,0.68471,1
0.5153,4.6964,2.3016,11.9609,0.7044,0.0270,-1.0467,0,1,0,0.56430,1
0.4294,4.3839,2.5895,12.1304,2.3777,0.0609,-1.0474,0,0,0,0.00000,1
0.4326,4.1739,2.5209,12.6713,2.0117,0.0114,-1.4801,0,1,1,1.24687,1
0.4991,5.3960,2.5090,11.8191,2.7764,0.0135,-0.8529,0,1,0,0.25421,3
0.5083,4.7105,2.3319,11.8191,0.5337,0.0883,-0.9664,0,1,0,0.21844,1
0.5754,5.3857,2.2035,12.2008,-0.3593,0.0885,-1.5692,0,1,0,0.51690,1
0.4426,4.6973,2.6069,11.8697,-2.2352,0.0821,-0.8703,0,1,0,0.22474,3
0.6170,6.1233,2.1638,12.6433,-0.5084,0.0161,-2.1655,0,1,0,1.09297,1
0.4370,4.4171,2.5633,12.1603,2.4144,0.0024,-1.0134,0,1,1,0.68185,1
0.4009,4.3368,2.7130,12.5358,-2.7271,0.1024,-1.3846,0,1,0,1.19666,1
0.4155,4.4045,2.6599,12.8374,-2.3072,0.0493,-1.6325,0,1,0,1.55675,1
0.3854,3.9385,2.6761,11.7018,2.5105,0.0567,-0.5877,0,1,0,0.23580,3
0.4368,4.7541,2.6476,11.9447,-3.0714,0.1262,-0.9832,0,1,0,0.53027,1
0.4130,4.0555,2.5777,11.9992,-1.2155,0.0297,-0.8495,0,1,0,0.49272,1
0.4460,4.6587,2.5820,11.8979,1.0304,0.0022,-0.7997,0,1,0,0.54953,1
0.4394,4.8196,2.6514,11.9009,2.9723,0.0104,-0.7999,0,1,0,0.47085,1
0.3625,3.9990,2.8131,13.3488,2.7700,0.0397,-1.8275,0,1,0,2.22182,0
0.3306,3.6264,2.8678,13.3906,-2.8980,0.0826,-1.7791,0,1,0,2.32209,1
0.4005,4.3004,2.7050,12.7309,2.3105,0.0069,-1.4090,0,2,0,1.39007,1
0.4459,4.7304,2.6000,11.7022,-2.7858,0.0878,-0.7315,0,1,0,0.26239,1
0.4042,4.2824,2.6818,12.5459,2.4114,0.0316,-1.2989,0,1,0,1.25406,1
0.4098,4.1299,2.6131,12.0431,1.2006,0.0060,-0.8477,1,1,0,0.46670,1
0.4436,4.5213,2.5595,12.9941,-2.6916,0.0295,-1.8697,0,1,0,1.90393,1
0.4360,4.6235,2.6196,12.0640,2.1928,0.0054,-0.9298,0,1,0,0.63289,1
0.3562,3.8146,2.7884,12.7268,2.6063,0.0509,-1.3070,0,2,0,0.87245,1
0.4293,4.6850,2.6663,12.0331,3.0382,0.0380,-0.9299,0,1,0,0.66068,3
0.3769,3.9974,2.7368,13.1496,-2.9740,0.0418,-1.7313,0,1,1,2.04836,1
0.4237,4.6305,2.6792,12.6723,2.7404,0.0714,-1.5446,0,1,0,1.44320,1
0.5321,5.2948,2.3529,11.9141,0.2535,0.0014,-1.0051,0,1,0,0.35483,3
0.4909,4.5255,2.3607,11.9830,1.2986,0.0102,-0.9886,0,1,0,0.49310,1
0.4154,4.1672,2.5973,11.5569,1.3114,0.0187,-0.4725,0,1,0,0.21615,1
0.4859,5.1478,2.5152,12.1653,1.7241,0.0143,-1.1690,0,1,0,0.63642,3
0.5552,5.5464,2.3072,11.9980,0.2103,0.0262,-1.1874,0,0,0,0.00000,1
0.4751,5.2401,2.5827,12.4079,2.9077,0.0148,-1.3824,0,1,0,1.01099,2
