x,Q2,W,miss_mass,phih,pt2,t,secondary_pips,secondary_pims,secondary_pizs,secondary_esum,accepted
0.3744,4.0989,2.7800,11.5622,-2.2911,0.0479,-0.4545,0,1,0,0.22136,1
0.4591,4.8542,2.5688,12.0762,-1.4174,0.0048,-0.9981,0,1,1,0.57003,1
0.4686,4.7479,2.5027,11.9814,2.2981,0.0161,-0.9456,0,1,0,0.58090,3
0.5330,4.9129,2.2771,11.6773,0.0575,0.0584,-0.8263,0,1,0,0.37910,1
0.4362,4.5579,2.6024,11.7115,1.5560,0.0447,-0.6688,0,1,0,0.42653,1
0.4975,5.4579,2.5285,11.8566,0.5049,0.0039,-0.8752,0,1,0,0.17615,1
0.3569,3.7867,2.7753,11.7957,2.3540,0.0171,-0.5599,0,1,0,0.40292,1
0.4311,4.2193,2.5394,12.2762,-0.9059,0.0102,-1.1112,0,1,0,0.88026,1
0.3936,4.1937,2.7095,12.8425,-2.4915,0.0022,-1.4707,0,1,1,1.47964,1
0.4069,4.4770,2.7215,12.7848,3.1384,0.0260,-1.5120,0,1,1,0.60531,1
0.4109,4.0475,2.5851,11.7739,-2.6006,0.0458,-0.6771,0,1,0,0.22328,1
0.5236,5.1602,2.3612,12.4961,1.1600,0.0187,-1.6413,0,1,1,1.19067,1
0.4449,4.5569,2.5624,12.0326,3.0606,0.0405,-0.9697,0,1,0,0.38577,1
0.3762,4.1405,2.7830,11.7120,3.1378,0.0343,-0.5532,0,1,0,0.23134,1
0.4234,4.2943,2.5941,12.6370,3.0945,0.0337,-1.4514,0,1,1,1.34128,1
0.4465,4.4823,2.5372,11.8743,-2.7798,0.0407,-0.8285,0,1,0,0.44577,1
0.4274,4.4826,2.6243,12.5702,2.6751,0.0369,-1.4092,1,1,0,1.10985,1
0.4765,4.4602,2.4044,11.7931,2.5241,0.0067,-0.7685,0,1,0,0.26804,1
0.4209,4.2891,2.6043,11.9109,-2.5626,0.0160,-0.7744,0,1,0,0.69000,3
0.3720,3.9896,2.7595,11.7379,-2.9251,0.0598,-0.5966,0,1,0,0.28262,3
0.4034,4.2141,2.6669,11.7579,-1.6843,0.0227,-0.6219,0,1,0,0.38091,1
0.4825,4.6549,2.4236,11.8943,-1.0047,0.0113,-0.8852,0,1,0,0.43616,3
0.4093,4.1295,2.6154,11.7844,-2.9900,0.0418,-0.6780,0,1,0,0.50678,1
0.3507,3.8160,2.8186,12.9682,-2.9830,0.0954,-1.5515,0,1,1,1.49639,1
0.4076,4.3920,2.6949,12.7263,-2.6902,0.0676,-1.5280,0,2,0,1.11610,1
0.4128,4.1870,2.6148,12.5826,1.7579,0.0027,-1.3155,0,1,0,1.16991,1
0.3872,3.9353,2.6661,12.4797,-1.9051,0.0348,-1.1898,0,1,2,1.10380,1
0.3586,3.9592,2.8217,12.1855,-2.9395,0.1092,-0.9727,0,1,0,0.23851,2
0.4260,4.1510,2.5445,11.5892,-1.3848,0.0200,-0.5159,0,1,0,0.24679,3
0.5028,5.0237,2.4184,12.2187,2.4599,0.0119,-1.2657,0,1,0,0.80826,1
0.4594,4.2838,2.4333,11.6583,0.6798,0.0083,-0.6142,0,1,0,0.19129,3
0.4097,4.1927,2.6307,11.9647,-2.3451,0.0782,-0.8772,0,1,0,0.23534,3
