x,Q2,miss_mass,phih,pt2,secondary_pips,secondary_pims,secondary_pizs,secondary_esum,accepted
0.4202,4.5188,11.9551,2.3433,0.0046,0,1,0,0.45671,1
0.5854,5.3972,12.4111,-0.2920,0.0755,0,1,0,0.67669,1
0.4211,4.2989,11.8512,-1.4023,0.0462,0,1,0,0.57701,1
0.3881,4.1253,11.9071,-1.9165,0.0486,0,1,1,0.49146,1
0.4227,4.1582,11.8588,2.2476,0.0567,0,1,0,0.36061,1
0.4716,4.3192,11.6830,-0.4909,0.0599,0,1,0,0.27605,1
0.5151,5.1803,12.1203,1.3587,0.0312,0,1,0,0.62284,1
0.3797,3.9279,11.7530,-2.8995,0.0292,0,1,0,0.47972,3
0.4775,5.1351,13.1319,2.0219,0.0074,0,1,0,1.85246,1
0.4171,4.1636,11.6813,-2.4595,0.0982,0,1,0,0.45075,1
0.5149,5.5682,11.9698,0.7804,0.0018,0,1,0,0.26279,1
0.4505,4.9132,12.0879,-2.0360,0.0183,0,0,0,0.00000,1
0.4791,5.2302,11.9375,3.0840,0.0731,0,1,0,0.48155,1
0.3853,3.9354,11.8917,2.0294,0.0494,0,1,0,0.39981,3
0.3744,4.0127,12.2092,-2.6990,0.0758,0,1,0,0.87971,3
0.5537,5.4364,12.0684,-0.1617,0.0298,0,1,0,0.72942,1
0.4035,4.4488,12.3480,-2.9225,0.0087,1,2,1,0.83740,0
0.4081,4.4826,13.1551,2.2155,0.0152,0,1,1,1.79722,1
0.5032,5.4758,12.0309,2.2560,0.0086,0,1,0,0.80576,3
0.4773,5.2026,13.2501,-2.8021,0.0427,0,1,0,2.04772,1
0.5090,5.2564,12.4767,1.8247,0.0466,0,1,0,0.56056,1
0.4315,4.7527,12.3502,-3.1413,0.0831,0,1,0,0.90407,0
0.4650,4.7054,11.9156,3.1039,0.0154,0,1,0,0.37289,3
0.4434,4.7631,12.3874,1.4928,0.0261,0,1,0,0.81195,1
0.4832,5.2571,11.8448,2.0190,0.0132,0,0,0,0.00000,3
0.4461,4.4061,11.8493,-2.3330,0.0061,0,1,0,0.52143,3
0.6109,6.1071,11.9697,1.2230,0.0272,0,1,0,0.21849,3
0.4460,4.3709,12.1865,1.8041,0.0213,0,1,0,0.77260,1
0.4323,4.5058,12.4054,1.3173,0.0073,0,1,1,1.03743,1
0.3482,3.8363,11.7963,3.0633,0.0923,0,1,0,0.53579,2
0.4370,4.8024,12.4325,2.6082,0.0115,0,1,0,1.13616,1
0.5062,5.3206,12.5930,1.6744,0.0139,0,1,0,1.11598,1
0.3651,3.8600,11.8566,-2.2993,0.0281,0,1,0,0.35824,1
0.5037,4.5860,11.9147,-0.8039,0.0264,0,1,0,0.41669,1
0.3920,4.1915,12.5905,2.4489,0.0631,0,1,0,1.23941,1
0.4573,4.9323,11.7170,-2.2824,0.0821,0,1,0,0.22698,3
0.4518,4.4271,12.6025,-2.4038,0.0138,0,2,0,1.24449,1
0.4698,4.8226,12.9799,0.1197,0.0037,0,1,1,1.68060,1
0.3498,3.7697,13.1928,3.0931,0.0288,0,1,1,2.10205,1
0.4694,4.5730,11.8432,-2.4474,0.0147,0,1,0,0.44189,1
0.4398,4.5094,11.8367,1.2064,0.0536,0,1,0,0.53299,1
0.3641,3.8682,11.8840,2.8270,0.0158,0,1,0,0.52014,1
0.4850,4.6240,11.8654,-3.1106,0.0058,0,1,0,0.21276,1
0.4433,4.8918,11.7702,-2.7947,0.0542,0,1,0,0.39353,2
0.3674,3.9541,11.9868,2.6991,0.0082,0,1,1,0.72048,1
0.4762,4.9019,11.8889,-2.0961,0.0013,0,1,0,0.45776,3
0.4315,4.2629,12.1663,2.5229,0.0162,1,1,2,0.98457,1
0.3686,4.0468,11.7829,-3.0396,0.1352,0,1,0,0.53257,3
0.3845,4.1754,12.3627,2.9135,0.1453,0,1,1,0.81668,1
0.4899,5.3369,11.9576,-1.8222,0.0314,0,1,0,0.62090,3
0.3404,3.7192,11.8000,-2.7083,0.0550,0,1,0,0.26937,1
0.4246,4.2493,12.1933,-3.1118,0.0204,0,1,0,0.74792,1
0.4385,4.5887,12.0014,-2.2394,0.0080,0,1,1,0.45628,3
0.3688,3.8895,12.1107,-2.7762,0.0450,0,1,1,0.73275,3
0.4054,4.4174,12.4363,-3.0659,0.0857,0,1,0,1.08026,1
0.3377,3.6791,12.4052,-2.4908,0.0420,0,1,1,1.08015,1
0.4148,4.1755,12.0895,-1.3249,0.0196,0,1,0,0.66722,1
0.3318,3.6334,12.8678,2.6313,0.0732,0,1,1,1.56441,1
0.3513,3.8028,12.0679,2.2054,0.0562,0,1,1,0.59843,1
0.4704,4.4466,11.9861,-0.3961,0.0248,0,1,0,0.64967,1
0.4367,4.7733,11.9975,3.1100,0.0782,0,0,2,0.27191,1
0.3705,3.8906,11.7338,-2.1104,0.0296,0,1,0,0.22057,1
0.4479,4.7195,11.8414,-2.8565,0.0444,0,1,0,0.47663,3
0.5622,5.1785,12.4211,-0.7346,0.0002,0,1,0,0.70276,1
0.4125,4.3068,12.1740,3.0702,0.0699,0,1,0,0.67096,1
0.5279,5.6408,12.0239,2.5170,0.0595,0,1,0,0.37038,1
0.4365,4.1717,11.8648,1.5438,0.0044,0,1,0,0.38958,3
0.4850,4.6525,12.5741,-0.9288,0.0077,0,1,0,1.08751,1
0.4216,4.1168,12.2352,-1.1251,0.0043,0,1,0,1.00209,1
0.4603,4.7981,12.2330,1.9094,0.0136,0,1,0,0.86402,3
0.3616,3.9593,11.8993,-2.9092,0.0631,0,1,0,0.47391,3
0.3492,3.8189,12.8393,-2.6031,0.0948,0,1,1,1.44427,1
0.4674,4.3425,12.2808,0.5426,0.0452,0,1,0,0.65289,1
0.4574,4.4967,12.4292,-1.8036,0.0248,0,1,1,0.73043,1
0.5003,5.4223,11.7691,2.7643,0.0227,0,1,0,0.27290,3
0.4666,4.9386,12.4350,1.8432,0.0018,0,1,0,0.90477,1
0.3834,4.0889,12.0346,2.6936,0.1372,0,1,0,0.67426,1
0.3675,3.8935,11.5941,2.1493,0.0119,0,1,0,0.24525,1
0.5111,4.6905,12.4732,0.3647,0.0360,0,1,0,0.80437,1
0.4620,4.7306,11.7841,2.2001,0.0302,0,1,0,0.31616,3
0.4568,4.7231,11.9314,-2.1554,0.0119,0,1,0,0.44632,3
0.4851,4.4548,11.8273,-0.1295,0.0345,0,1,0,0.44583,1
0.3628,3.9404,13.2728,3.1279,0.0217,0,1,0,1.80767,1
0.3594,3.8664,12.8165,-2.2502,0.0120,0,1,3,1.53994,1
0.4320,4.4996,11.8423,-2.6583,0.0187,0,1,0,0.22791,3
0.4029,4.4366,13.3892,-2.2615,0.0208,0,1,1,0.39531,0
0.3847,4.0624,12.0455,2.9511,0.1287,0,1,0,0.64730,1
0.3921,4.2593,12.7280,2.5411,0.0048,0,2,0,1.31847,1
0.4088,4.2478,12.2333,-2.7443,0.0740,0,1,0,0.66311,1
0.3735,3.9682,12.1754,2.6661,0.0478,0,1,0,0.95281,3
0.4249,4.2715,11.9757,1.5809,0.0136,0,1,0,0.52925,1
0.4095,4.1806,11.7169,2.5776,0.0710,0,1,0,0.32795,1
0.4815,4.3817,12.1565,1.0744,0.0185,0,1,0,0.45767,1
0.5330,5.1362,12.0078,-0.4451,0.0637,0,1,0,0.28736,1
0.4673,4.8490,12.4751,-2.5103,0.0578,0,1,0,1.38425,1
0.3559,3.8679,11.8241,-3.0153,0.1374,0,1,0,0.41492,3
0.4885,5.2113,12.3348,-1.2624,0.0079,0,1,0,1.05766,1
0.5973,5.5741,11.9822,-0.0461,0.0065,0,1,0,0.22190,1
0.4302,4.4504,11.8560,2.9599,0.0843,0,1,0,0.23099,1
0.4882,4.7801,12.0434,0.7198,0.0169,0,1,0,0.28046,1
0.4483,4.8400,11.6660,-2.3001,0.0541,0,1,0,0.26958,3
0.4077,4.1430,12.1820,-2.4588,0.1021,0,1,0,0.89774,1
0.3721,3.9837,12.7965,-2.6988,0.1163,0,1,1,1.69487,1
0.3654,3.9601,11.9831,2.5014,0.0360,0,1,0,0.59932,1
0.4740,4.6125,11.8636,1.4274,0.0372,0,1,0,0.36272,3
0.4977,4.5906,12.1715,-0.9777,0.0302,0,1,0,0.66898,1
0.4994,4.5741,12.1286,-0.5564,0.0432,0,1,0,0.45207,1
0.4469,4.4168,12.1930,2.3800,0.0041,0,1,0,0.72616,1
0.3435,3.7383,12.3157,-2.5855,0.0918,0,1,1,0.96008,3
0.4942,5.3949,11.7825,2.9854,0.0517,0,1,0,0.28847,1
0.4532,4.9810,12.6446,-2.5243,0.0917,0,1,0,1.31682,1
0.4379,4.3623,12.4183,-1.8679,0.0208,0,1,1,0.93247,1
0.3598,3.8631,12.4289,3.0550,0.0302,0,1,2,0.89977,3
0.4119,4.4384,13.2496,-2.5665,0.0090,1,2,3,3.55573,1
0.4111,4.2071,11.7074,1.2765,0.0109,0,1,0,0.46336,1
0.3863,4.2001,12.5137,-2.8560,0.1102,0,1,0,1.30124,1
0.4242,4.2735,11.6728,2.6221,0.0123,0,1,0,0.25659,3
0.4808,4.9925,13.0069,1.6099,0.0195,0,1,1,1.70855,1
0.5261,5.4373,11.7749,2.8539,0.0082,0,1,0,0.49048,3
0.3469,3.8049,11.8323,-2.1561,0.0610,0,1,0,0.44276,1
0.5081,4.6319,11.9463,-1.5428,0.0438,0,1,0,0.34979,1
0.4614,4.8800,12.0347,2.0534,0.0120,0,1,0,0.36289,3
0.4270,4.6146,11.9599,2.2255,0.0587,0,1,0,0.25211,3
0.4839,4.9167,12.5804,-1.8795,0.0205,0,1,2,1.14750,1
0.4071,4.2478,12.2968,1.7670,0.0113,0,1,1,0.68371,1
0.4308,4.3827,11.7862,2.3216,0.0383,0,1,0,0.42387,3
0.5936,5.7288,12.0725,-0.1541,0.0249,0,1,0,0.60580,1
0.5483,5.7109,12.0438,0.8189,0.0054,0,1,0,0.59227,3
0.4269,4.5310,11.5620,-1.5625,0.0215,0,1,0,0.26709,1
0.4263,4.3583,12.3063,-2.0564,0.0095,0,1,0,0.94698,1
0.5624,5.2748,11.6945,1.2574,0.0045,0,1,0,0.20656,1
0.3445,3.7242,11.7803,-2.6428,0.0560,0,1,0,0.51413,3
0.3597,3.8945,12.8091,2.9491,0.0746,0,1,1,1.66430,1
0.4759,4.3570,12.0352,0.7340,0.0287,0,1,0,0.35495,1
0.4112,4.0621,11.8059,2.8430,0.0426,0,1,0,0.33519,1
0.4287,4.3788,12.4617,-1.2564,0.0126,0,1,0,1.02615,1
