x,Q2,W,miss_mass,phih,pt2,t,secondary_pips,secondary_pims,secondary_pizs,secondary_esum,accepted
0.4711,4.7598,2.4950,12.8084,2.5278,0.0058,-1.7570,0,1,1,1.47284,1
0.3968,4.1610,2.6845,11.6675,-2.9870,0.0052,-0.5171,0,1,0,0.25981,1
0.4270,4.4915,2.6282,12.0767,-2.6731,0.0718,-1.0079,0,1,0,0.48499,1
0.3553,3.7756,2.7804,12.5276,-2.9301,0.0626,-1.1647,0,1,0,1.24053,1
0.4001,4.3174,2.7116,11.6925,1.9152,0.0153,-0.5551,0,1,0,0.16330,1
0.3676,4.0361,2.7972,11.9390,-2.2082,0.0360,-0.7102,0,1,0,0.37990,1
0.4244,4.4172,2.6213,12.0058,2.2693,0.0143,-0.8622,0,1,0,0.56611,3
0.4005,4.2094,2.6798,12.5723,2.2116,0.0736,-1.3730,0,1,0,1.35740,1
0.4017,4.3900,2.7236,12.7889,-2.8216,0.0235,-1.4913,0,1,1,1.48518,1
0.5457,5.3003,2.3005,12.1098,-0.2590,0.0364,-1.3023,0,1,0,0.65956,1
0.5093,4.7252,2.3307,11.8434,-1.0013,0.0122,-0.8923,0,1,0,0.50426,1
0.3963,4.2336,2.7076,13.2531,-1.9588,0.0043,-1.8477,0,1,1,2.22539,1
0.3592,3.7914,2.7649,11.7863,-3.0481,0.0737,-0.6271,0,1,0,0.55118,3
0.4599,4.8807,2.5713,12.2999,-3.1367,0.0221,-1.2378,0,1,0,0.76798,3
0.3440,3.7360,2.8294,12.9530,-2.3766,0.0417,-1.4213,0,1,1,1.64177,1
0.4527,4.6956,2.5605,12.6830,0.7375,0.0018,-1.5540,0,2,0,1.08560,1
0.3956,4.2546,2.7169,13.0303,-2.4474,0.0373,-1.7034,0,1,0,1.86725,1
0.4273,4.4938,2.6273,12.2908,2.9315,0.0328,-1.1475,0,1,0,0.91109,3
0.4923,5.3581,2.5312,12.2352,2.7102,0.0560,-1.3177,0,1,0,0.54386,1
0.5228,5.2527,2.3821,12.9111,-1.2317,0.0091,-2.0936,0,2,0,1.73242,1
0.4240,4.2533,2.5805,11.6019,0.9532,0.0204,-0.5244,0,1,0,0.18769,1
0.3954,4.0971,2.6730,11.8558,-2.5010,0.0642,-0.7380,0,1,0,0.46134,3
0.4529,4.7576,2.5745,12.1297,-2.7576,0.0421,-1.0829,0,1,0,0.57761,1
0.4833,5.2128,2.5404,12.5908,-2.0572,0.0371,-1.6314,0,1,1,0.98663,1
0.5448,5.3525,2.3134,11.8248,1.3717,0.0324,-0.9776,0,1,0,0.18253,3
0.4476,4.5153,2.5404,12.0686,-2.4826,0.0108,-0.9687,0,1,1,0.50220,3
0.4016,4.1680,2.6627,12.6242,2.2852,0.0183,-1.3375,0,1,1,1.19880,1
0.4620,4.6766,2.5152,12.0682,1.6980,0.0067,-0.9990,0,1,0,0.73193,3
0.3482,3.7351,2.8059,11.8611,2.9468,0.1854,-0.8008,0,1,0,0.37687,1
0.3569,3.8620,2.7996,13.0358,2.6705,0.0685,-1.5895,0,1,1,1.15354,1
0.4947,5.3277,2.5142,11.8543,-1.2891,0.0733,-0.9560,0,1,0,0.22359,1
0.4532,4.7122,2.5623,12.3577,0.3695,0.0015,-1.2423,0,1,0,0.93876,1
0.4564,4.5085,2.4999,11.5778,1.3542,0.0314,-0.5664,0,1,0,0.16865,3
0.4204,4.1781,2.5771,11.8694,-1.4752,0.0184,-0.7408,0,1,0,0.17939,1
0.4740,4.9706,2.5292,11.9090,-2.3136,0.0651,-0.9535,0,1,0,0.35291,1
0.3488,3.7295,2.8004,13.0707,-2.8681,0.0721,-1.5890,0,1,1,1.28498,1
0.3829,3.9135,2.6810,12.1270,-1.9415,0.0080,-0.8532,0,1,0,0.70644,1
0.4225,4.3791,2.6202,12.9265,-1.8010,0.0227,-1.7003,0,1,0,1.49468,1
0.3624,3.8014,2.7508,12.7962,2.8208,0.0522,-1.3891,0,1,1,0.77727,1
0.3992,4.3713,2.7310,12.2935,-3.0828,0.0288,-1.0629,0,1,1,0.63255,3
0.3786,3.9503,2.7136,12.7535,-2.2727,0.0296,-1.3801,0,1,0,1.62403,1
0.3738,3.8782,2.7159,11.6802,-1.8722,0.0066,-0.4914,0,1,0,0.28886,1
0.3764,4.0351,2.7508,12.1447,2.2817,0.0226,-0.8710,0,1,0,0.58509,1
0.4730,4.4642,2.4195,11.7546,0.6805,0.0464,-0.7768,0,1,0,0.29485,1
0.4767,5.0584,2.5364,12.3413,-2.7658,0.0301,-1.3415,0,1,0,0.95736,3
0.4728,4.6806,2.4697,12.0896,-0.8749,0.0545,-1.1125,0,1,0,0.27624,1
0.3740,4.0300,2.7614,12.8635,-2.1094,0.0134,-1.4275,0,1,0,1.45248,1
0.4809,4.8088,2.4639,11.6025,-2.2588,0.0078,-0.5991,0,1,0,0.38518,3
0.4023,4.4238,2.7300,12.3701,-2.0225,0.0241,-1.1304,1,1,0,0.88336,1
0.4793,4.8702,2.4840,12.0758,2.1686,0.0676,-1.1342,0,1,0,0.55307,1
0.4491,4.7370,2.5866,12.0538,-1.5985,0.0185,-0.9706,0,1,0,0.80091,1
0.3762,3.8941,2.7087,12.4027,2.6179,0.0180,-1.0677,0,1,1,0.88420,1
0.3700,3.9080,2.7448,12.6715,-2.8501,0.0447,-1.3040,0,1,0,1.51466,1
0.4489,4.8378,2.6116,12.9935,-2.5272,0.0602,-1.9465,0,1,1,1.67777,1
0.4754,5.1102,2.5535,12.7757,1.2588,0.0033,-1.7398,0,1,3,2.11490,1
0.3839,3.9998,2.7019,11.8425,3.0415,0.1030,-0.7536,0,1,0,0.58270,1
0.5146,5.3477,2.4339,12.9166,-0.9857,0.0108,-2.0690,0,1,1,1.33292,1
0.4873,4.7512,2.4246,11.9865,0.9638,0.0183,-0.9966,0,1,0,0.54444,1
0.5292,5.5892,2.4194,11.7262,1.3766,0.0119,-0.8154,0,1,1,0.36315,3
0.4515,4.5589,2.5334,11.8210,-1.5668,0.0368,-0.7855,0,1,0,0.42937,3
0.4408,4.5642,2.5827,11.9087,-1.8681,0.0281,-0.8315,0,1,0,0.43440,3
0.4171,4.3861,2.6476,12.3645,2.6865,0.0142,-1.1558,0,1,0,1.04561,1
0.3852,4.0164,2.7001,12.8199,-2.0708,0.0415,-1.4814,0,1,1,1.39665,1
0.4767,4.7657,2.4723,12.3099,2.3504,0.0209,-1.2946,0,1,0,0.85275,1
0.3769,4.0986,2.7669,12.4078,2.4466,0.0516,-1.1225,0,1,0,1.24859,3
0.4186,4.2148,2.5951,12.4209,-2.3029,0.0427,-1.2518,0,1,3,1.20931,1
0.3893,4.1506,2.7189,13.1851,-1.6584,0.0255,-1.7918,0,1,1,1.86935,1
0.4605,4.4751,2.4743,11.9125,-2.7591,0.0227,-0.8697,0,1,0,0.19221,1
0.4624,4.7354,2.5269,11.9273,-2.2275,0.0258,-0.8932,0,1,0,0.21922,3
0.3664,3.8880,2.7576,11.9165,-3.1389,0.0173,-0.6667,0,1,0,0.65921,1
0.4625,4.7537,2.5308,11.7726,1.1122,0.0026,-0.7194,0,1,0,0.28636,1
0.3767,3.9839,2.7337,12.2896,-3.0589,0.0398,-1.0098,0,1,0,0.84566,3
0.4900,5.1983,2.5081,12.4155,-2.5889,0.0394,-1.4743,0,1,0,1.05187,1
0.4067,4.0283,2.5993,12.8035,-0.8495,0.0017,-1.4861,0,1,0,0.40141,1
0.5533,5.0451,2.2256,11.9612,-1.0931,0.0139,-1.1197,0,1,0,0.34551,1
0.4857,5.3116,2.5504,11.8116,-2.9061,0.0799,-0.9025,0,1,0,0.33493,1
0.3887,4.2684,2.7557,12.1401,2.4610,0.0236,-0.9004,0,1,0,0.36195,1
0.3866,4.1587,2.7349,12.7036,2.8382,0.0068,-1.3330,0,1,0,1.44909,1
0.3972,4.3280,2.7295,12.2996,-1.6965,0.0538,-1.0967,0,1,0,0.31807,1
0.4236,4.6217,2.6773,12.5240,-2.6948,0.0250,-1.3365,0,0,1,0.63139,1
0.4487,4.8221,2.6084,12.8133,-2.4632,0.0783,-1.7926,0,1,0,1.37906,1
0.3467,3.7754,2.8277,13.1708,2.8168,0.0768,-1.6684,0,1,0,2.09408,1
0.4929,4.6602,2.3824,11.9530,1.4053,0.0285,-0.9892,0,1,0,0.39093,1
0.3506,3.7421,2.7949,12.1308,2.8680,0.0112,-0.7806,0,1,0,0.78510,1
0.3983,4.1075,2.6620,12.3730,-1.8036,0.0061,-1.0936,0,1,0,1.03262,1
0.3518,3.7774,2.8003,12.9992,-2.8472,0.0933,-1.5792,0,1,0,1.88011,1
0.4222,4.2264,2.5814,12.5895,-2.4916,0.0300,-1.3976,1,2,0,1.16342,1
0.3572,3.8299,2.7879,13.0172,2.7759,0.0075,-1.4715,0,1,1,1.89077,1
0.4353,4.3496,2.5541,11.7537,1.8647,0.0255,-0.6795,0,1,0,0.28602,3
0.4375,4.2550,2.5200,11.5499,3.0347,0.0146,-0.4931,0,1,0,0.16705,3
0.3821,4.0613,2.7292,11.5544,3.0129,0.0193,-0.4253,0,1,0,0.33185,1
0.4100,4.0796,2.5984,12.5084,2.3463,0.0302,-1.2826,0,1,1,0.97615,1
0.4909,4.7459,2.4089,11.6591,-1.1642,0.0023,-0.6621,0,1,0,0.16351,3
0.3725,4.0520,2.7760,12.7141,-2.6900,0.1224,-1.4687,0,1,0,1.50900,1
0.4855,5.2710,2.5429,12.0383,-1.5586,0.0090,-1.0345,0,1,0,0.36091,1
0.3942,4.2441,2.7206,11.9172,2.5412,0.1007,-0.8323,0,1,0,0.58344,3
0.5268,5.4462,2.4024,12.1593,2.2340,0.0308,-1.2993,0,1,0,0.68515,1
0.3743,3.9463,2.7346,11.7854,-2.9672,0.1282,-0.7216,0,1,0,0.30200,1
0.4144,4.1575,2.5992,11.6919,-2.5520,0.0058,-0.5658,0,1,0,0.25806,3
0.4564,4.3468,2.4610,11.7541,-0.8221,0.0361,-0.7319,0,1,0,0.29861,1
0.4285,4.2366,2.5557,11.9327,-0.7287,0.0074,-0.7977,0,1,0,0.38818,1
0.4888,5.3482,2.5446,13.3162,2.3884,0.0363,-2.4465,0,1,2,2.04306,1
0.5398,5.2511,2.3147,12.0748,1.1185,0.0375,-1.2484,0,1,0,0.26942,1
0.3783,3.9073,2.7023,11.9185,-2.2949,0.0047,-0.6764,0,1,0,0.54163,1
0.4512,4.7521,2.5808,12.4203,2.9163,0.0327,-1.3420,0,1,0,1.06469,1
0.3857,4.1722,2.7431,13.2620,2.4510,0.0201,-1.8331,1,3,1,2.76890,1
0.3327,3.6424,2.8613,12.9356,-2.9331,0.1213,-1.4908,0,1,1,1.81563,1
0.3514,3.8505,2.8265,12.2601,2.4769,0.1287,-1.0375,0,1,0,1.04770,3
0.4026,4.0728,2.6314,11.7235,-2.4294,0.0664,-0.6465,0,1,0,0.38783,3
0.4916,5.1732,2.4961,11.8944,-1.9564,0.0322,-0.9355,0,1,0,0.22263,3
0.4518,4.4707,2.5111,12.3843,-2.4641,0.0113,-1.2756,0,1,3,1.28167,1
0.4189,4.4673,2.6604,12.9607,2.8559,0.0481,-1.7606,0,1,0,1.68615,1
0.4030,4.0510,2.6232,11.9475,1.5759,0.0022,-0.7482,0,0,0,0.00000,1
0.5839,5.8847,2.2527,12.7395,0.3518,0.0144,-2.1552,0,1,1,1.33196,1
0.4550,4.8360,2.5830,11.9151,2.9702,0.0841,-0.9419,0,1,0,0.38367,1
0.3973,4.2939,2.7190,11.6528,-2.6148,0.0389,-0.5476,0,1,0,0.17372,3
0.4099,4.2697,2.6511,12.3696,-2.9488,0.0405,-1.1760,0,1,0,0.80961,1
0.3956,3.9850,2.6401,12.0427,2.8880,0.0746,-0.9054,0,1,0,0.64200,1
0.4004,4.0866,2.6456,12.0642,-2.2224,0.0213,-0.8636,0,1,0,0.76595,3
0.4612,4.2908,2.4275,11.9063,1.3358,0.0028,-0.8375,0,0,0,0.00000,1
0.3990,4.1782,2.6783,12.4447,-2.9902,0.0299,-1.1915,0,2,0,1.04794,1
0.4051,4.2383,2.6653,12.7204,2.5890,0.0238,-1.4435,0,1,2,2.13979,1
0.3609,3.9291,2.7999,12.7011,-2.0710,0.0545,-1.3091,0,1,2,1.46694,1
0.4794,4.9384,2.4986,12.8325,-1.7950,0.0227,-1.8461,1,2,1,1.08060,1
0.4303,4.5127,2.6183,12.1508,1.6557,0.0020,-0.9876,0,0,0,0.00000,1
0.4046,4.2878,2.6816,13.1615,-3.1329,0.0544,-1.8967,0,1,1,1.85904,1
0.4177,4.4393,2.6586,13.1386,1.9184,0.0021,-1.8422,1,2,2,1.78964,1
0.5068,5.1550,2.4285,11.8827,-1.9558,0.0496,-0.9796,0,1,0,0.45553,1
0.4377,4.3166,2.5350,11.8955,2.2061,0.0280,-0.8120,0,1,0,0.41264,3
0.4887,4.4863,2.3611,11.9341,1.7389,0.0221,-0.9510,0,1,0,0.46742,1
0.4951,5.2486,2.4967,12.3648,-1.8606,0.0059,-1.3883,0,1,1,1.06598,1
0.3919,3.9885,2.6589,12.0794,-2.8544,0.0201,-0.8535,0,1,0,0.61845,3
0.5274,5.5411,2.4179,11.8212,3.1337,0.0260,-0.9300,0,1,0,0.41640,1
0.4798,4.5923,2.4204,11.9064,1.6341,0.0375,-0.9259,0,1,0,0.62787,1
0.3704,3.9840,2.7661,11.8342,3.1040,0.0175,-0.6139,0,1,0,0.21693,1
0.4752,4.8072,2.4877,12.1794,3.0233,0.0125,-1.1493,0,1,0,0.69152,1
0.4800,4.8481,2.4762,11.9748,-2.9304,0.0007,-0.9452,0,1,0,0.41980,3
0.4759,4.4947,2.4146,12.6087,0.5708,0.0116,-1.5779,1,1,2,1.10100,1
0.3638,3.8317,2.7537,13.1487,-2.2027,0.0054,-1.6033,1,1,1,1.20998,1
0.4300,4.6783,2.6613,11.7443,2.2509,0.0718,-0.7203,0,1,0,0.28142,3
0.4035,4.2870,2.6864,13.1140,-1.8787,0.0276,-1.7989,0,1,0,1.89728,1
0.3628,3.8075,2.7510,11.9568,-2.3262,0.0500,-0.7310,0,1,0,0.64854,3
0.3989,4.0142,2.6323,12.7873,-1.3417,0.0040,-1.4454,0,1,0,1.57245,1
0.4655,4.9420,2.5603,12.0984,-2.4614,0.0408,-1.0846,0,1,0,0.39241,3
0.4311,4.1871,2.5309,11.7854,2.2919,0.0333,-0.7087,0,1,0,0.25012,1
0.4455,4.3345,2.5049,11.7144,-1.0869,0.0011,-0.6323,0,1,0,0.21973,3
0.4589,4.5885,2.5081,12.4843,3.0850,0.0103,-1.3943,0,1,0,1.04705,1
0.4020,4.3234,2.7041,12.0728,2.4841,0.1148,-0.9995,0,2,0,0.68541,3
0.3979,4.0569,2.6493,12.0793,2.4206,0.0941,-0.9680,0,1,0,0.53771,1
0.4588,5.0080,2.6053,12.1605,-2.2598,0.0747,-1.1736,0,1,0,0.99265,3
0.5663,5.8587,2.3166,12.7428,-0.0147,0.0170,-2.0936,1,1,1,1.06933,1
0.3586,3.9259,2.8110,11.8796,3.0165,0.0382,-0.6504,0,1,0,0.55842,1
0.4205,4.4329,2.6437,12.5059,2.4225,0.1192,-1.4504,0,1,0,1.10415,1
0.3789,4.1581,2.7742,11.9131,2.6617,0.0450,-0.7257,0,1,0,0.49350,3
0.3694,3.8470,2.7291,11.8869,2.3541,0.0180,-0.6515,0,1,0,0.70341,1
0.4518,4.3368,2.4784,11.7953,2.5525,0.0180,-0.7374,0,1,0,0.18902,1
0.4677,4.9000,2.5410,11.8659,2.3210,0.0568,-0.8874,0,1,0,0.50623,3
0.3625,3.8531,2.7669,11.7052,2.0138,0.0365,-0.5278,0,1,0,0.28049,1
0.4190,4.1426,2.5740,11.8414,2.3629,0.0236,-0.7208,0,2,0,0.50269,3
0.4265,4.4938,2.6314,12.4942,-2.8519,0.0435,-1.3458,0,1,0,1.06198,1
0.3948,4.0795,2.6708,13.0034,-2.5907,0.0087,-1.6260,0,1,2,2.89750,1
0.4605,5.0469,2.6064,12.0062,2.8466,0.0458,-0.9908,0,1,0,0.30105,3
0.3458,3.7034,2.8084,12.4741,-2.4518,0.0545,-1.0806,0,1,1,1.22601,1
0.3620,3.8345,2.7635,12.1125,2.3639,0.1022,-0.9164,0,1,0,0.64868,3
0.3992,4.1544,2.6706,11.7256,-1.6380,0.0314,-0.5991,0,1,0,0.30795,1
