Q2,Bjorken X,t,Ebeam,Theta_e,Eprime,Theta_p,p_pi,k_pi,W,Em,Pm,Mm,MMa
4.520000,0.303361,0.112664,10.700000,22.560812,2.760000,6.520360,7.878726,10.217486,3.355610,0.998310,5.230216,0.000000,10.047250
4.520000,0.303743,0.112998,10.700000,22.519518,2.770000,6.088191,7.868546,10.298975,3.352812,0.998488,5.297970,0.000000,10.011889
4.520000,0.304127,0.113333,10.700000,22.478451,2.780000,5.650551,7.858366,10.375745,3.350013,0.998667,5.362280,0.000000,9.977796
4.520000,0.304511,0.113670,10.700000,22.437607,2.790000,5.207952,7.848185,10.447827,3.347211,0.998846,5.423131,0.000000,9.945058
4.520000,0.304897,0.114008,10.700000,22.396985,2.800000,4.760883,7.838003,10.515254,3.344406,0.999026,5.480512,0.000000,9.913758
4.520000,0.305283,0.114347,10.700000,22.356582,2.810000,4.309814,7.827821,10.578060,3.341600,0.999207,5.534416,0.000000,9.883974
4.520000,0.305670,0.114688,10.700000,22.316398,2.820000,3.855197,7.817638,10.636279,3.338791,0.999389,5.584841,0.000000,9.855779
4.520000,0.306059,0.115031,10.700000,22.276430,2.830000,3.397465,7.807453,10.689950,3.335979,0.999571,5.631786,0.000000,9.829240
4.520000,0.306448,0.115375,10.700000,22.236675,2.840000,2.937032,7.797268,10.739108,3.333165,0.999755,5.675255,0.000000,9.804417
4.520000,0.306839,0.115721,10.700000,22.197133,2.850000,2.474300,7.787082,10.783793,3.330349,0.999939,5.715257,0.000000,9.781366
4.520000,0.307230,0.116068,10.700000,22.157801,2.860000,2.009654,7.776896,10.824045,3.327531,1.000124,5.751802,0.000000,9.760136
4.520000,0.307622,0.116417,10.700000,22.118677,2.870000,1.543464,7.766708,10.859903,3.324710,1.000310,5.784902,0.000000,9.740770
4.520000,0.308016,0.116767,10.700000,22.079760,2.880000,1.076089,7.756520,10.891411,3.321886,1.000497,5.814574,0.000000,9.723305
4.520000,0.308410,0.117119,10.700000,22.041048,2.890000,0.607874,7.746331,10.918610,3.319061,1.000684,5.840837,0.000000,9.707770
