
 ----- CONTAMINATION RESULTS for Q2 = 5.0 -----

  Cut | 1pi Total | 2pi Total | Contamination
 12.5 |     5.837 |     1.170 |      0.200451
 12.5 |     5.841 |     1.180 |      0.202088
 12.5 |     5.845 |     1.189 |      0.203499
 12.5 |     5.849 |     1.197 |      0.204723
 12.5 |     5.851 |     1.205 |      0.205903
 12.5 |     5.856 |     1.213 |      0.207146
 12.5 |     5.857 |     1.222 |      0.208568
 12.5 |     5.859 |     1.230 |      0.209995
 12.5 |     5.860 |     1.238 |      0.211164
 12.6 |     5.863 |     1.244 |      0.212225
 12.6 |     5.864 |     1.250 |      0.213140
 12.6 |     5.867 |     1.255 |      0.213854
 12.6 |     5.868 |     1.261 |      0.214814
 12.6 |     5.870 |     1.266 |      0.215677
 12.6 |     5.872 |     1.273 |      0.216787
 12.6 |     5.876 |     1.277 |      0.217368
 12.6 |     5.878 |     1.282 |      0.218127
 12.6 |     5.882 |     1.286 |      0.218561
 12.6 |     5.883 |     1.289 |      0.219178
 12.7 |     5.884 |     1.292 |      0.219655
 12.7 |     5.886 |     1.298 |      0.220528
 12.7 |     5.886 |     1.301 |      0.221055
 12.7 |     5.886 |     1.304 |      0.221623
 12.7 |     5.886 |     1.307 |      0.222042
 12.7 |     5.886 |     1.309 |      0.222460
 12.7 |     5.887 |     1.312 |      0.222920
 12.7 |     5.889 |     1.314 |      0.223195
 12.7 |     5.890 |     1.316 |      0.223386
 12.7 |     5.894 |     1.318 |      0.223603
 12.8 |     5.894 |     1.319 |      0.223829
 12.8 |     5.894 |     1.320 |      0.224032
 12.8 |     5.894 |     1.322 |      0.224226
 12.8 |     5.894 |     1.324 |      0.224549
 12.8 |     5.895 |     1.325 |      0.224768
 12.8 |     5.895 |     1.327 |      0.225034
 12.8 |     5.895 |     1.327 |      0.225176
 12.8 |     5.895 |     1.328 |      0.225328
 12.8 |     5.895 |     1.329 |      0.225425
 12.8 |     5.895 |     1.329 |      0.225471
 12.9 |     5.895 |     1.329 |      0.225508
 12.9 |     5.895 |     1.330 |      0.225532
 12.9 |     5.896 |     1.330 |      0.225609
 12.9 |     5.896 |     1.330 |      0.225613
 12.9 |     5.897 |     1.330 |      0.225593
 12.9 |     5.897 |     1.330 |      0.225593
 12.9 |     5.898 |     1.330 |      0.225570
 12.9 |     5.898 |     1.330 |      0.225570
 12.9 |     5.898 |     1.330 |      0.225570
 12.9 |     5.898 |     1.330 |      0.225570
 13.0 |     5.898 |     1.330 |      0.225571
 13.0 |     5.898 |     1.330 |      0.225581
 13.0 |     5.898 |     1.330 |      0.225585
 13.0 |     5.898 |     1.330 |      0.225585
 13.0 |     5.898 |     1.330 |      0.225585
 13.0 |     5.898 |     1.330 |      0.225585
 13.0 |     5.898 |     1.330 |      0.225585
 13.0 |     5.898 |     1.330 |      0.225585
 13.0 |     5.898 |     1.330 |      0.225585
 13.0 |     5.898 |     1.330 |      0.225585
 13.1 |     5.898 |     1.330 |      0.225585
 13.1 |     5.898 |     1.331 |      0.225644
 13.1 |     5.898 |     1.331 |      0.225644
 13.1 |     5.898 |     1.331 |      0.225644
 13.1 |     5.898 |     1.331 |      0.225644
 13.1 |     5.898 |     1.331 |      0.225644
 13.1 |     5.898 |     1.331 |      0.225644
 13.1 |     5.899 |     1.331 |      0.225616
 13.1 |     5.899 |     1.331 |      0.225616
 13.1 |     5.899 |     1.331 |      0.225616
 13.2 |     5.899 |     1.331 |      0.225616
 13.2 |     5.899 |     1.331 |      0.225616
 13.2 |     5.899 |     1.331 |      0.225616
 13.2 |     5.899 |     1.331 |      0.225616
 13.2 |     5.899 |     1.331 |      0.225616
 13.2 |     5.899 |     1.331 |      0.225616
 13.2 |     5.899 |     1.331 |      0.225616
 13.2 |     5.899 |     1.331 |      0.225616
 13.2 |     5.899 |     1.331 |      0.225616
 13.2 |     5.899 |     1.331 |      0.225616
 13.3 |     5.899 |     1.331 |      0.225616
 13.3 |     5.899 |     1.331 |      0.225616
 13.3 |     5.899 |     1.331 |      0.225616
 13.3 |     5.899 |     1.331 |      0.225616
 13.3 |     5.899 |     1.331 |      0.225616
 13.3 |     5.899 |     1.331 |      0.225616
 13.3 |     5.899 |     1.331 |      0.225616
 13.3 |     5.899 |     1.331 |      0.225616
 13.3 |     5.899 |     1.331 |      0.225616
 13.3 |     5.899 |     1.331 |      0.225616
 13.4 |     5.899 |     1.331 |      0.225616
 13.4 |     5.899 |     1.331 |      0.225616
 13.4 |     5.899 |     1.331 |      0.225616
 13.4 |     5.899 |     1.331 |      0.225608
 13.4 |     5.899 |     1.331 |      0.225608
 13.4 |     5.899 |     1.331 |      0.225608
 13.4 |     5.899 |     1.331 |      0.225608
 13.4 |     5.899 |     1.331 |      0.225608
 13.4 |     5.899 |     1.331 |      0.225608
 13.4 |     5.899 |     1.331 |      0.225608
 13.5 |     5.899 |     1.331 |      0.225608
 13.5 |     5.899 |     1.331 |      0.225608
 13.5 |     5.899 |     1.331 |      0.225608
 13.5 |     5.899 |     1.331 |      0.225598
 13.5 |     5.899 |     1.331 |      0.225598
 13.5 |     5.899 |     1.331 |      0.225598
 13.5 |     5.899 |     1.331 |      0.225598
 13.5 |     5.899 |     1.331 |      0.225598
 13.5 |     5.899 |     1.331 |      0.225598
 13.5 |     5.899 |     1.331 |      0.225598
 13.6 |     5.899 |     1.331 |      0.225598
 13.6 |     5.899 |     1.331 |      0.225598
 13.6 |     5.899 |     1.331 |      0.225583
 13.6 |     5.899 |     1.331 |      0.225583
 13.6 |     5.899 |     1.331 |      0.225583
 13.6 |     5.899 |     1.331 |      0.225583
 13.6 |     5.899 |     1.331 |      0.225583
 13.6 |     5.899 |     1.331 |      0.225583
 13.6 |     5.899 |     1.331 |      0.225583
 13.6 |     5.899 |     1.331 |      0.225583
 13.7 |     5.899 |     1.331 |      0.225583
 13.7 |     5.899 |     1.331 |      0.225583
 13.7 |     5.899 |     1.331 |      0.225583
 13.7 |     5.899 |     1.331 |      0.225583
 13.7 |     5.899 |     1.331 |      0.225583
 13.7 |     5.899 |     1.331 |      0.225583
 13.7 |     5.899 |     1.331 |      0.225583
 13.7 |     5.899 |     1.331 |      0.225583
 13.7 |     5.899 |     1.331 |      0.225583
 13.7 |     5.899 |     1.331 |      0.225583
 13.8 |     5.899 |     1.331 |      0.225583
 13.8 |     5.899 |     1.331 |      0.225583
 13.8 |     5.899 |     1.331 |      0.225583
 13.8 |     5.899 |     1.331 |      0.225583
 13.8 |     5.899 |     1.331 |      0.225583
 13.8 |     5.899 |     1.331 |      0.225583
 13.8 |     5.899 |     1.331 |      0.225583
 13.8 |     5.899 |     1.331 |      0.225583
 13.8 |     5.899 |     1.331 |      0.225583
 13.8 |     5.899 |     1.331 |      0.225583
 13.9 |     5.899 |     1.331 |      0.225583
 13.9 |     5.899 |     1.331 |      0.225583
 13.9 |     5.899 |     1.331 |      0.225583
 13.9 |     5.899 |     1.331 |      0.225583
 13.9 |     5.899 |     1.331 |      0.225583
 13.9 |     5.899 |     1.331 |      0.225583
 13.9 |     5.899 |     1.331 |      0.225583
 13.9 |     5.899 |     1.331 |      0.225583

