
 ----- CONTAMINATION RESULTS for Q2 = 5.0 -----

  Cut | 1pi Total | 2pi Total | Contamination
 11.2 |     0.000 |     0.000 |           nan
 11.2 |     0.002 |     0.000 |      0.000000
 11.2 |     0.004 |     0.000 |      0.000000
 11.3 |     0.010 |     0.000 |      0.000000
 11.3 |     0.019 |     0.000 |      0.000000
 11.3 |     0.038 |     0.000 |      0.000000
 11.3 |     0.053 |     0.000 |      0.000000
 11.3 |     0.080 |     0.000 |      0.000000
 11.3 |     0.116 |     0.000 |      0.000000
 11.3 |     0.164 |     0.000 |      0.000000
 11.3 |     0.222 |     0.000 |      0.000000
 11.3 |     0.272 |     0.000 |      0.000000
 11.3 |     0.334 |     0.000 |      0.000000
 11.4 |     0.405 |     0.000 |      0.000000
 11.4 |     0.494 |     0.000 |      0.000000
 11.4 |     0.564 |     0.000 |      0.000587
 11.4 |     0.647 |     0.000 |      0.000703
 11.4 |     0.728 |     0.000 |      0.000625
 11.4 |     0.820 |     0.001 |      0.000640
 11.4 |     0.913 |     0.001 |      0.000660
 11.4 |     1.012 |     0.001 |      0.000665
 11.4 |     1.116 |     0.001 |      0.001145
 11.4 |     1.225 |     0.002 |      0.001506
 11.5 |     1.344 |     0.002 |      0.001777
 11.5 |     1.438 |     0.003 |      0.002137
 11.5 |     1.553 |     0.004 |      0.002470
 11.5 |     1.674 |     0.005 |      0.003284
 11.5 |     1.785 |     0.007 |      0.003871
 11.5 |     1.907 |     0.010 |      0.005194
 11.5 |     2.017 |     0.011 |      0.005567
 11.5 |     2.126 |     0.013 |      0.005942
 11.5 |     2.238 |     0.016 |      0.007005
 11.5 |     2.358 |     0.018 |      0.007492
 11.6 |     2.454 |     0.021 |      0.008561
 11.6 |     2.566 |     0.024 |      0.009394
 11.6 |     2.678 |     0.031 |      0.011443
 11.6 |     2.774 |     0.038 |      0.013522
 11.6 |     2.868 |     0.041 |      0.014382
 11.6 |     2.966 |     0.047 |      0.015694
 11.6 |     3.068 |     0.053 |      0.017333
 11.6 |     3.171 |     0.057 |      0.018129
 11.6 |     3.265 |     0.063 |      0.019347
 11.6 |     3.345 |     0.071 |      0.021142
 11.7 |     3.419 |     0.076 |      0.022331
 11.7 |     3.505 |     0.084 |      0.023879
 11.7 |     3.590 |     0.091 |      0.025403
 11.7 |     3.677 |     0.099 |      0.027046
 11.7 |     3.750 |     0.108 |      0.028745
 11.7 |     3.823 |     0.118 |      0.030976
 11.7 |     3.900 |     0.127 |      0.032507
 11.7 |     3.970 |     0.134 |      0.033862
 11.7 |     4.036 |     0.141 |      0.034964
 11.7 |     4.117 |     0.150 |      0.036524
 11.8 |     4.178 |     0.159 |      0.038053
 11.8 |     4.244 |     0.171 |      0.040210
 11.8 |     4.299 |     0.182 |      0.042408
 11.8 |     4.356 |     0.195 |      0.044743
 11.8 |     4.418 |     0.207 |      0.046803
 11.8 |     4.480 |     0.221 |      0.049249
 11.8 |     4.535 |     0.233 |      0.051354
 11.8 |     4.582 |     0.246 |      0.053691
 11.8 |     4.643 |     0.261 |      0.056148
 11.8 |     4.700 |     0.276 |      0.058755
 11.9 |     4.744 |     0.288 |      0.060650
 11.9 |     4.792 |     0.302 |      0.063068
 11.9 |     4.833 |     0.315 |      0.065128
 11.9 |     4.871 |     0.331 |      0.067939
 11.9 |     4.910 |     0.346 |      0.070520
 11.9 |     4.944 |     0.361 |      0.072980
 11.9 |     4.981 |     0.377 |      0.075736
 11.9 |     5.019 |     0.394 |      0.078582
 11.9 |     5.058 |     0.409 |      0.080790
 11.9 |     5.098 |     0.422 |      0.082796
 12.0 |     5.132 |     0.438 |      0.085349
 12.0 |     5.168 |     0.453 |      0.087630
 12.0 |     5.196 |     0.470 |      0.090372
 12.0 |     5.219 |     0.486 |      0.093059
 12.0 |     5.243 |     0.499 |      0.095196
 12.0 |     5.270 |     0.516 |      0.097910
 12.0 |     5.295 |     0.532 |      0.100552
 12.0 |     5.321 |     0.552 |      0.103739
 12.0 |     5.341 |     0.570 |      0.106686
 12.0 |     5.367 |     0.584 |      0.108754
 12.1 |     5.386 |     0.599 |      0.111204
 12.1 |     5.412 |     0.614 |      0.113520
 12.1 |     5.430 |     0.631 |      0.116279
 12.1 |     5.455 |     0.651 |      0.119286
 12.1 |     5.468 |     0.666 |      0.121808
 12.1 |     5.486 |     0.681 |      0.124134
 12.1 |     5.499 |     0.699 |      0.127077
 12.1 |     5.520 |     0.719 |      0.130230
 12.1 |     5.535 |     0.734 |      0.132614
 12.1 |     5.550 |     0.750 |      0.135200
 12.2 |     5.563 |     0.768 |      0.138127
 12.2 |     5.576 |     0.784 |      0.140619
 12.2 |     5.588 |     0.803 |      0.143620
 12.2 |     5.611 |     0.819 |      0.146001
 12.2 |     5.627 |     0.835 |      0.148394
 12.2 |     5.636 |     0.852 |      0.151149
 12.2 |     5.645 |     0.866 |      0.153480
 12.2 |     5.652 |     0.881 |      0.155943
 12.2 |     5.662 |     0.898 |      0.158657
 12.2 |     5.674 |     0.915 |      0.161236
 12.3 |     5.688 |     0.932 |      0.163811
 12.3 |     5.698 |     0.946 |      0.165939
 12.3 |     5.713 |     0.957 |      0.167483
 12.3 |     5.726 |     0.970 |      0.169332
 12.3 |     5.733 |     0.982 |      0.171273
 12.3 |     5.740 |     0.998 |      0.173916
 12.3 |     5.748 |     1.009 |      0.175506
 12.3 |     5.759 |     1.021 |      0.177290
 12.3 |     5.764 |     1.033 |      0.179230
 12.3 |     5.772 |     1.045 |      0.181027
 12.4 |     5.775 |     1.058 |      0.183216
 12.4 |     5.784 |     1.070 |      0.184943
 12.4 |     5.787 |     1.081 |      0.186757
 12.4 |     5.792 |     1.091 |      0.188377
 12.4 |     5.799 |     1.100 |      0.189755
 12.4 |     5.805 |     1.111 |      0.191373
 12.4 |     5.812 |     1.122 |      0.192968
 12.4 |     5.815 |     1.132 |      0.194596
 12.4 |     5.819 |     1.140 |      0.195939
 12.4 |     5.824 |     1.150 |      0.197477
 12.5 |     5.833 |     1.161 |      0.198984
