
 ----- CONTAMINATION RESULTS for Q2 = 7.5 -----

  Cut | 1pi Total | 2pi Total | Contamination
  0.8 |     0.000 |     0.000 |           nan
  0.8 |     0.000 |     0.000 |      0.000000
  0.8 |     0.000 |     0.000 |      0.000000
  0.8 |     0.000 |     0.000 |      0.000000
  0.8 |     0.000 |     0.000 |      0.000000
  0.8 |     0.000 |     0.000 |      0.000000
  0.8 |     0.000 |     0.000 |      0.000000
  0.8 |     0.000 |     0.000 |      0.000000
  0.8 |     0.000 |     0.000 |      0.000000
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.001 |     0.000 |      0.000000
  0.9 |     0.007 |     0.000 |      0.000000
  0.9 |     0.209 |     0.000 |      0.000072
  1.0 |     0.361 |     0.000 |      0.000042
  1.0 |     0.394 |     0.000 |      0.000079
  1.0 |     0.418 |     0.000 |      0.000226
  1.0 |     0.433 |     0.000 |      0.000375
  1.0 |     0.447 |     0.000 |      0.000526
  1.0 |     0.457 |     0.000 |      0.000779
  1.0 |     0.466 |     0.000 |      0.001016
  1.0 |     0.475 |     0.001 |      0.001442
  1.0 |     0.483 |     0.001 |      0.001898
  1.0 |     0.490 |     0.001 |      0.002804
  1.1 |     0.496 |     0.002 |      0.003642
  1.1 |     0.503 |     0.002 |      0.004479
  1.1 |     0.509 |     0.003 |      0.005497
  1.1 |     0.514 |     0.003 |      0.006433
  1.1 |     0.520 |     0.004 |      0.007422
  1.1 |     0.525 |     0.005 |      0.008658
  1.1 |     0.529 |     0.005 |      0.010207
  1.1 |     0.534 |     0.006 |      0.011775
  1.1 |     0.538 |     0.007 |      0.013435
  1.1 |     0.541 |     0.008 |      0.014966
  1.2 |     0.545 |     0.009 |      0.017004
  1.2 |     0.549 |     0.011 |      0.019199
  1.2 |     0.553 |     0.012 |      0.020971
  1.2 |     0.557 |     0.013 |      0.022936
  1.2 |     0.560 |     0.014 |      0.025119
  1.2 |     0.562 |     0.015 |      0.027582
  1.2 |     0.564 |     0.017 |      0.029986
  1.2 |     0.567 |     0.019 |      0.032951
  1.2 |     0.569 |     0.020 |      0.035091
  1.2 |     0.572 |     0.021 |      0.037282
  1.3 |     0.573 |     0.023 |      0.039792
  1.3 |     0.576 |     0.024 |      0.042516
  1.3 |     0.578 |     0.026 |      0.045314
  1.3 |     0.580 |     0.028 |      0.048100
  1.3 |     0.583 |     0.030 |      0.051060
  1.3 |     0.585 |     0.031 |      0.053809
  1.3 |     0.587 |     0.033 |      0.056491
  1.3 |     0.589 |     0.035 |      0.059301
  1.3 |     0.590 |     0.037 |      0.061886
  1.3 |     0.592 |     0.038 |      0.064373
  1.4 |     0.593 |     0.040 |      0.067124
  1.4 |     0.594 |     0.041 |      0.069719
  1.4 |     0.595 |     0.043 |      0.072146
  1.4 |     0.597 |     0.044 |      0.074472
  1.4 |     0.598 |     0.046 |      0.077019
  1.4 |     0.599 |     0.048 |      0.079928
  1.4 |     0.601 |     0.049 |      0.081997
  1.4 |     0.602 |     0.051 |      0.084497
  1.4 |     0.603 |     0.052 |      0.086189
  1.4 |     0.604 |     0.053 |      0.088511
  1.5 |     0.605 |     0.055 |      0.090243
  1.5 |     0.606 |     0.056 |      0.092391
  1.5 |     0.606 |     0.057 |      0.093986
  1.5 |     0.607 |     0.058 |      0.095768
  1.5 |     0.608 |     0.059 |      0.097310
  1.5 |     0.608 |     0.060 |      0.099106
  1.5 |     0.609 |     0.061 |      0.100922
  1.5 |     0.609 |     0.062 |      0.102519
  1.5 |     0.610 |     0.064 |      0.104288
  1.5 |     0.610 |     0.064 |      0.105654
  1.6 |     0.610 |     0.065 |      0.106937
  1.6 |     0.611 |     0.066 |      0.108017
  1.6 |     0.611 |     0.067 |      0.109039
  1.6 |     0.612 |     0.067 |      0.110118
  1.6 |     0.612 |     0.068 |      0.111058
  1.6 |     0.612 |     0.069 |      0.111933
  1.6 |     0.612 |     0.069 |      0.112864
  1.6 |     0.612 |     0.069 |      0.113402
  1.6 |     0.612 |     0.070 |      0.113968
  1.6 |     0.613 |     0.070 |      0.114436
  1.7 |     0.613 |     0.070 |      0.114950
  1.7 |     0.613 |     0.071 |      0.115313
  1.7 |     0.613 |     0.071 |      0.115500
  1.7 |     0.613 |     0.071 |      0.115684
  1.7 |     0.613 |     0.071 |      0.115884
  1.7 |     0.613 |     0.071 |      0.115978
  1.7 |     0.613 |     0.071 |      0.116046
  1.7 |     0.613 |     0.071 |      0.116092
  1.7 |     0.613 |     0.071 |      0.116170

