
 ----- CONTAMINATION RESULTS for Q2 = 8.5 -----

  Cut | 1pi Total | 2pi Total | Contamination
 11.2 |     0.000 |     0.000 |           inf
 11.3 |     0.000 |     0.000 |      1.032404
 11.3 |     0.000 |     0.000 |      0.461309
 11.3 |     0.001 |     0.000 |      0.432246
 11.3 |     0.001 |     0.000 |      0.464610
 11.3 |     0.002 |     0.001 |      0.451489
 11.3 |     0.002 |     0.001 |      0.429094
 11.3 |     0.003 |     0.001 |      0.467011
 11.3 |     0.004 |     0.002 |      0.462878
 11.3 |     0.005 |     0.002 |      0.482707
 11.3 |     0.006 |     0.003 |      0.458888
 11.4 |     0.008 |     0.004 |      0.449561
 11.4 |     0.010 |     0.004 |      0.454492
 11.4 |     0.011 |     0.005 |      0.463600
 11.4 |     0.014 |     0.006 |      0.444041
 11.4 |     0.016 |     0.007 |      0.436609
 11.4 |     0.019 |     0.008 |      0.410201
 11.4 |     0.021 |     0.009 |      0.407545
 11.4 |     0.024 |     0.010 |      0.409283
 11.4 |     0.028 |     0.011 |      0.399035
 11.4 |     0.031 |     0.012 |      0.399475
 11.5 |     0.034 |     0.013 |      0.393153
 11.5 |     0.037 |     0.014 |      0.391700
 11.5 |     0.041 |     0.016 |      0.384703
 11.5 |     0.044 |     0.017 |      0.379432
 11.5 |     0.048 |     0.018 |      0.379535
 11.5 |     0.051 |     0.019 |      0.378964
 11.5 |     0.054 |     0.020 |      0.373178
 11.5 |     0.058 |     0.022 |      0.374380
 11.5 |     0.061 |     0.023 |      0.375447
 11.5 |     0.065 |     0.024 |      0.373551
 11.6 |     0.068 |     0.026 |      0.377563
 11.6 |     0.071 |     0.027 |      0.381006
 11.6 |     0.076 |     0.028 |      0.376850
 11.6 |     0.079 |     0.030 |      0.375741
 11.6 |     0.083 |     0.031 |      0.375454
 11.6 |     0.087 |     0.032 |      0.374223
 11.6 |     0.090 |     0.034 |      0.375862
 11.6 |     0.093 |     0.035 |      0.379117
 11.6 |     0.097 |     0.036 |      0.376082
 11.6 |     0.101 |     0.038 |      0.375893
 11.7 |     0.105 |     0.039 |      0.373838
 11.7 |     0.108 |     0.040 |      0.375098
 11.7 |     0.112 |     0.042 |      0.372700
 11.7 |     0.115 |     0.043 |      0.371350
 11.7 |     0.118 |     0.044 |      0.374283
 11.7 |     0.121 |     0.045 |      0.375218
 11.7 |     0.124 |     0.047 |      0.375163
 11.7 |     0.127 |     0.048 |      0.374692
 11.7 |     0.130 |     0.049 |      0.375030
 11.7 |     0.133 |     0.050 |      0.377826
 11.8 |     0.136 |     0.052 |      0.379403
 11.8 |     0.139 |     0.053 |      0.380214
 11.8 |     0.142 |     0.054 |      0.381274
 11.8 |     0.145 |     0.055 |      0.381375
 11.8 |     0.148 |     0.056 |      0.382073
 11.8 |     0.150 |     0.058 |      0.384210
 11.8 |     0.153 |     0.059 |      0.385509
 11.8 |     0.156 |     0.060 |      0.386118
 11.8 |     0.158 |     0.061 |      0.385465
 11.8 |     0.160 |     0.062 |      0.385861
 11.9 |     0.163 |     0.063 |      0.384978
 11.9 |     0.165 |     0.064 |      0.384699
 11.9 |     0.168 |     0.065 |      0.384286
 11.9 |     0.170 |     0.066 |      0.385351
 11.9 |     0.172 |     0.066 |      0.385874
 11.9 |     0.174 |     0.067 |      0.386294
 11.9 |     0.176 |     0.068 |      0.386949
 11.9 |     0.178 |     0.069 |      0.386727
 11.9 |     0.180 |     0.070 |      0.387575
 11.9 |     0.182 |     0.070 |      0.386142
 12.0 |     0.184 |     0.071 |      0.386393
 12.0 |     0.186 |     0.072 |      0.387522
 12.0 |     0.188 |     0.073 |      0.387404
 12.0 |     0.190 |     0.074 |      0.387095
 12.0 |     0.192 |     0.074 |      0.387955
 12.0 |     0.194 |     0.075 |      0.388113
 12.0 |     0.196 |     0.076 |      0.388427
 12.0 |     0.197 |     0.077 |      0.389479
 12.0 |     0.199 |     0.077 |      0.389611
 12.0 |     0.200 |     0.078 |      0.389911
 12.1 |     0.202 |     0.079 |      0.390563
 12.1 |     0.204 |     0.080 |      0.390847
 12.1 |     0.205 |     0.080 |      0.391550
 12.1 |     0.206 |     0.081 |      0.393023
 12.1 |     0.207 |     0.081 |      0.393057
 12.1 |     0.209 |     0.082 |      0.391863
 12.1 |     0.210 |     0.083 |      0.392398
 12.1 |     0.212 |     0.083 |      0.393523
 12.1 |     0.213 |     0.084 |      0.393922
 12.1 |     0.215 |     0.084 |      0.393691
 12.2 |     0.216 |     0.085 |      0.394598
 12.2 |     0.217 |     0.086 |      0.394295
 12.2 |     0.219 |     0.086 |      0.394341
 12.2 |     0.220 |     0.087 |      0.394694
 12.2 |     0.221 |     0.087 |      0.394020
 12.2 |     0.222 |     0.088 |      0.394236
 12.2 |     0.224 |     0.088 |      0.394086
 12.2 |     0.224 |     0.089 |      0.394687
 12.2 |     0.225 |     0.089 |      0.394448
 12.2 |     0.226 |     0.089 |      0.393935
 12.3 |     0.227 |     0.090 |      0.393733
 12.3 |     0.228 |     0.090 |      0.394000
 12.3 |     0.229 |     0.090 |      0.393950
 12.3 |     0.230 |     0.091 |      0.394152
 12.3 |     0.231 |     0.091 |      0.394017
 12.3 |     0.232 |     0.092 |      0.394895
 12.3 |     0.233 |     0.092 |      0.395253
 12.3 |     0.233 |     0.092 |      0.395516
 12.3 |     0.235 |     0.093 |      0.394768
 12.3 |     0.235 |     0.093 |      0.394436
 12.4 |     0.236 |     0.093 |      0.393716
 12.4 |     0.237 |     0.093 |      0.393901
 12.4 |     0.238 |     0.094 |      0.393133
 12.4 |     0.239 |     0.094 |      0.393291
 12.4 |     0.240 |     0.094 |      0.393532
 12.4 |     0.240 |     0.095 |      0.393509
 12.4 |     0.241 |     0.095 |      0.393613
 12.4 |     0.242 |     0.095 |      0.393261
 12.4 |     0.242 |     0.095 |      0.393601
 12.4 |     0.243 |     0.095 |      0.393140
 12.5 |     0.243 |     0.096 |      0.393406
 12.5 |     0.244 |     0.096 |      0.392882
 12.5 |     0.245 |     0.096 |      0.393292
 12.5 |     0.245 |     0.097 |      0.393798
 12.5 |     0.246 |     0.097 |      0.393590
 12.5 |     0.246 |     0.097 |      0.393389
 12.5 |     0.247 |     0.097 |      0.393191
 12.5 |     0.247 |     0.097 |      0.393313
 12.5 |     0.248 |     0.097 |      0.393530
 12.5 |     0.248 |     0.098 |      0.393499
 12.6 |     0.249 |     0.098 |      0.393464
 12.6 |     0.249 |     0.098 |      0.393910
 12.6 |     0.249 |     0.098 |      0.394216
 12.6 |     0.250 |     0.098 |      0.394118
 12.6 |     0.250 |     0.099 |      0.394199
 12.6 |     0.250 |     0.099 |      0.394389
 12.6 |     0.251 |     0.099 |      0.394448
 12.6 |     0.251 |     0.099 |      0.394742
 12.6 |     0.251 |     0.099 |      0.394690
 12.6 |     0.252 |     0.099 |      0.394288
 12.7 |     0.252 |     0.099 |      0.394041
 12.7 |     0.252 |     0.099 |      0.393659
 12.7 |     0.253 |     0.099 |      0.393659
 12.7 |     0.253 |     0.100 |      0.393373
 12.7 |     0.253 |     0.100 |      0.393310
 12.7 |     0.253 |     0.100 |      0.393589
 12.7 |     0.254 |     0.100 |      0.393406
 12.7 |     0.254 |     0.100 |      0.392971
 12.7 |     0.254 |     0.100 |      0.392979
 12.7 |     0.255 |     0.100 |      0.392935
 12.8 |     0.255 |     0.100 |      0.393060
 12.8 |     0.255 |     0.100 |      0.393214
 12.8 |     0.255 |     0.100 |      0.393165
 12.8 |     0.255 |     0.100 |      0.393439
 12.8 |     0.255 |     0.100 |      0.393117
 12.8 |     0.255 |     0.100 |      0.393264
 12.8 |     0.256 |     0.101 |      0.393313
 12.8 |     0.256 |     0.101 |      0.393385
