
 ----- CONTAMINATION RESULTS for Q2 = 6.5 -----

  Cut | 1pi Total | 2pi Total | Contamination
 11.2 |     0.000 |     0.000 |           nan
 11.2 |     0.000 |     0.000 |      0.000000
 11.2 |     0.001 |     0.000 |      0.000000
 11.3 |     0.003 |     0.000 |      0.000000
 11.3 |     0.006 |     0.000 |      0.000000
 11.3 |     0.010 |     0.000 |      0.000000
 11.3 |     0.014 |     0.000 |      0.000000
 11.3 |     0.022 |     0.000 |      0.000000
 11.3 |     0.031 |     0.000 |      0.000000
 11.3 |     0.042 |     0.000 |      0.000000
 11.3 |     0.054 |     0.000 |      0.000000
 11.3 |     0.065 |     0.000 |      0.000000
 11.3 |     0.080 |     0.000 |      0.000000
 11.4 |     0.094 |     0.000 |      0.000000
 11.4 |     0.113 |     0.000 |      0.000000
 11.4 |     0.130 |     0.000 |      0.000000
 11.4 |     0.155 |     0.000 |      0.000000
 11.4 |     0.174 |     0.000 |      0.000000
 11.4 |     0.196 |     0.000 |      0.000000
 11.4 |     0.216 |     0.000 |      0.000601
 11.4 |     0.243 |     0.000 |      0.000662
 11.4 |     0.265 |     0.000 |      0.000779
 11.4 |     0.291 |     0.000 |      0.001195
 11.5 |     0.317 |     0.000 |      0.001190
 11.5 |     0.344 |     0.000 |      0.001295
 11.5 |     0.369 |     0.001 |      0.001525
 11.5 |     0.397 |     0.001 |      0.002168
 11.5 |     0.422 |     0.001 |      0.002483
 11.5 |     0.447 |     0.001 |      0.002831
 11.5 |     0.468 |     0.001 |      0.003185
 11.5 |     0.493 |     0.002 |      0.003338
 11.5 |     0.518 |     0.002 |      0.003374
 11.5 |     0.546 |     0.002 |      0.003684
 11.6 |     0.573 |     0.003 |      0.004566
 11.6 |     0.602 |     0.003 |      0.004948
 11.6 |     0.627 |     0.003 |      0.005224
 11.6 |     0.650 |     0.003 |      0.005149
 11.6 |     0.676 |     0.004 |      0.006412
 11.6 |     0.701 |     0.005 |      0.007329
 11.6 |     0.726 |     0.006 |      0.008023
 11.6 |     0.748 |     0.007 |      0.008932
 11.6 |     0.773 |     0.007 |      0.009161
 11.6 |     0.796 |     0.008 |      0.009775
 11.7 |     0.823 |     0.008 |      0.010271
 11.7 |     0.845 |     0.009 |      0.010667
 11.7 |     0.868 |     0.010 |      0.011324
 11.7 |     0.892 |     0.010 |      0.011754
 11.7 |     0.914 |     0.011 |      0.012257
 11.7 |     0.937 |     0.012 |      0.012662
 11.7 |     0.958 |     0.013 |      0.013535
 11.7 |     0.980 |     0.014 |      0.014134
 11.7 |     0.998 |     0.015 |      0.015263
 11.7 |     1.020 |     0.017 |      0.016439
 11.8 |     1.038 |     0.018 |      0.017263
 11.8 |     1.057 |     0.019 |      0.017811
 11.8 |     1.073 |     0.020 |      0.019000
 11.8 |     1.091 |     0.022 |      0.020539
 11.8 |     1.108 |     0.024 |      0.021732
 11.8 |     1.122 |     0.025 |      0.022577
 11.8 |     1.141 |     0.027 |      0.023690
 11.8 |     1.157 |     0.028 |      0.024634
 11.8 |     1.170 |     0.030 |      0.025358
 11.8 |     1.183 |     0.032 |      0.026893
 11.9 |     1.201 |     0.034 |      0.028007
 11.9 |     1.214 |     0.035 |      0.029029
 11.9 |     1.230 |     0.037 |      0.029958
 11.9 |     1.242 |     0.038 |      0.030952
 11.9 |     1.254 |     0.040 |      0.032106
 11.9 |     1.267 |     0.042 |      0.032929
 11.9 |     1.278 |     0.043 |      0.034031
 11.9 |     1.289 |     0.046 |      0.035426
 11.9 |     1.299 |     0.048 |      0.037052
 11.9 |     1.309 |     0.050 |      0.038108
 12.0 |     1.322 |     0.052 |      0.039505
 12.0 |     1.333 |     0.054 |      0.040865
 12.0 |     1.343 |     0.057 |      0.042112
 12.0 |     1.354 |     0.059 |      0.043780
 12.0 |     1.363 |     0.063 |      0.045864
 12.0 |     1.374 |     0.065 |      0.047309
 12.0 |     1.384 |     0.068 |      0.048881
 12.0 |     1.395 |     0.070 |      0.050281
 12.0 |     1.406 |     0.072 |      0.051469
 12.0 |     1.414 |     0.075 |      0.052746
 12.1 |     1.419 |     0.077 |      0.054483
 12.1 |     1.428 |     0.080 |      0.056312
 12.1 |     1.435 |     0.083 |      0.057922
 12.1 |     1.444 |     0.086 |      0.059516
 12.1 |     1.451 |     0.088 |      0.060955
 12.1 |     1.457 |     0.091 |      0.062459
 12.1 |     1.465 |     0.094 |      0.063902
 12.1 |     1.471 |     0.096 |      0.065327
 12.1 |     1.476 |     0.099 |      0.066875
 12.1 |     1.483 |     0.101 |      0.068450
 12.2 |     1.489 |     0.105 |      0.070376
 12.2 |     1.494 |     0.107 |      0.071871
 12.2 |     1.500 |     0.110 |      0.073407
 12.2 |     1.505 |     0.113 |      0.074847
 12.2 |     1.510 |     0.115 |      0.076422
 12.2 |     1.513 |     0.118 |      0.078166
 12.2 |     1.518 |     0.121 |      0.079833
 12.2 |     1.521 |     0.124 |      0.081641
 12.2 |     1.527 |     0.127 |      0.083183
 12.2 |     1.532 |     0.129 |      0.084342
 12.3 |     1.537 |     0.131 |      0.085489
 12.3 |     1.541 |     0.134 |      0.087023
 12.3 |     1.546 |     0.137 |      0.088480
 12.3 |     1.548 |     0.139 |      0.089961
 12.3 |     1.551 |     0.142 |      0.091625
 12.3 |     1.553 |     0.145 |      0.093352
 12.3 |     1.555 |     0.147 |      0.094784
 12.3 |     1.559 |     0.150 |      0.096331
 12.3 |     1.562 |     0.152 |      0.097569
 12.3 |     1.565 |     0.155 |      0.099024
 12.4 |     1.568 |     0.158 |      0.100420
 12.4 |     1.571 |     0.160 |      0.101894
 12.4 |     1.572 |     0.163 |      0.103445
 12.4 |     1.575 |     0.165 |      0.104914
 12.4 |     1.577 |     0.168 |      0.106200
 12.4 |     1.582 |     0.170 |      0.107247
 12.4 |     1.585 |     0.172 |      0.108601
 12.4 |     1.587 |     0.174 |      0.109892
 12.4 |     1.589 |     0.177 |      0.111070
 12.4 |     1.592 |     0.178 |      0.111912
 12.5 |     1.595 |     0.180 |      0.113038
 12.5 |     1.596 |     0.182 |      0.114059
 12.5 |     1.598 |     0.184 |      0.115190
 12.5 |     1.600 |     0.186 |      0.116411
 12.5 |     1.600 |     0.188 |      0.117725
 12.5 |     1.601 |     0.190 |      0.118916
 12.5 |     1.603 |     0.193 |      0.120250
 12.5 |     1.604 |     0.194 |      0.121171
 12.5 |     1.605 |     0.196 |      0.122209
 12.5 |     1.607 |     0.198 |      0.123193
 12.6 |     1.607 |     0.200 |      0.124357
 12.6 |     1.608 |     0.201 |      0.125154
 12.6 |     1.609 |     0.203 |      0.126015
 12.6 |     1.610 |     0.204 |      0.127005
 12.6 |     1.612 |     0.206 |      0.127721
 12.6 |     1.613 |     0.207 |      0.128451
 12.6 |     1.613 |     0.208 |      0.129005
 12.6 |     1.614 |     0.209 |      0.129780
 12.6 |     1.615 |     0.211 |      0.130452
 12.6 |     1.616 |     0.212 |      0.131260
 12.7 |     1.616 |     0.213 |      0.131964
 12.7 |     1.617 |     0.215 |      0.132877
 12.7 |     1.618 |     0.216 |      0.133422
 12.7 |     1.619 |     0.217 |      0.133949
 12.7 |     1.620 |     0.218 |      0.134515
 12.7 |     1.622 |     0.219 |      0.134891
 12.7 |     1.622 |     0.220 |      0.135396
 12.7 |     1.622 |     0.220 |      0.135854
 12.7 |     1.623 |     0.221 |      0.136222
 12.7 |     1.623 |     0.222 |      0.136634
 12.8 |     1.624 |     0.222 |      0.136930
 12.8 |     1.624 |     0.223 |      0.137209
 12.8 |     1.624 |     0.223 |      0.137537
 12.8 |     1.624 |     0.224 |      0.137896
 12.8 |     1.624 |     0.224 |      0.138129
 12.8 |     1.624 |     0.225 |      0.138465
 12.8 |     1.625 |     0.225 |      0.138581
 12.8 |     1.626 |     0.226 |      0.138865
 12.8 |     1.626 |     0.226 |      0.139096
 12.8 |     1.626 |     0.226 |      0.139157
 12.9 |     1.626 |     0.227 |      0.139418
 12.9 |     1.626 |     0.227 |      0.139661
 12.9 |     1.626 |     0.227 |      0.139764
 12.9 |     1.626 |     0.228 |      0.139905
 12.9 |     1.626 |     0.228 |      0.140089
 12.9 |     1.626 |     0.228 |      0.140145
 12.9 |     1.626 |     0.228 |      0.140233
 12.9 |     1.626 |     0.228 |      0.140378
 12.9 |     1.626 |     0.228 |      0.140423
 12.9 |     1.627 |     0.228 |      0.140387
 13.0 |     1.627 |     0.229 |      0.140430
 13.0 |     1.627 |     0.229 |      0.140506
 13.0 |     1.628 |     0.229 |      0.140523
 13.0 |     1.628 |     0.229 |      0.140529
 13.0 |     1.628 |     0.229 |      0.140546
 13.0 |     1.628 |     0.229 |      0.140557
 13.0 |     1.628 |     0.229 |      0.140557
 13.0 |     1.628 |     0.229 |      0.140557
 13.0 |     1.628 |     0.229 |      0.140584
 13.0 |     1.628 |     0.229 |      0.140584
 13.1 |     1.628 |     0.229 |      0.140591
 13.1 |     1.628 |     0.229 |      0.140593
 13.1 |     1.628 |     0.229 |      0.140593
 13.1 |     1.628 |     0.229 |      0.140593
 13.1 |     1.628 |     0.229 |      0.140593
 13.1 |     1.628 |     0.229 |      0.140593
 13.1 |     1.628 |     0.229 |      0.140593
 13.1 |     1.628 |     0.229 |      0.140593
 13.1 |     1.628 |     0.229 |      0.140593
 13.1 |     1.628 |     0.229 |      0.140593
 13.2 |     1.628 |     0.229 |      0.140593
 13.2 |     1.628 |     0.229 |      0.140593
 13.2 |     1.628 |     0.229 |      0.140593
 13.2 |     1.628 |     0.229 |      0.140593
 13.2 |     1.628 |     0.229 |      0.140593
 13.2 |     1.628 |     0.229 |      0.140593
 13.2 |     1.628 |     0.229 |      0.140593
 13.2 |     1.628 |     0.229 |      0.140593
 13.2 |     1.628 |     0.229 |      0.140593
 13.2 |     1.628 |     0.229 |      0.140593
 13.3 |     1.628 |     0.229 |      0.140593
 13.3 |     1.628 |     0.229 |      0.140593
 13.3 |     1.628 |     0.229 |      0.140593
 13.3 |     1.628 |     0.229 |      0.140593
 13.3 |     1.628 |     0.229 |      0.140574
 13.3 |     1.628 |     0.229 |      0.140574
 13.3 |     1.628 |     0.229 |      0.140574
 13.3 |     1.628 |     0.229 |      0.140574
 13.3 |     1.628 |     0.229 |      0.140574
 13.3 |     1.628 |     0.229 |      0.140574
 13.4 |     1.628 |     0.229 |      0.140587
 13.4 |     1.628 |     0.229 |      0.140587
 13.4 |     1.628 |     0.229 |      0.140587
 13.4 |     1.628 |     0.229 |      0.140587
 13.4 |     1.628 |     0.229 |      0.140587
 13.4 |     1.628 |     0.229 |      0.140587
 13.4 |     1.628 |     0.229 |      0.140587
 13.4 |     1.628 |     0.229 |      0.140587
 13.4 |     1.628 |     0.229 |      0.140587
 13.4 |     1.628 |     0.229 |      0.140587
 13.5 |     1.628 |     0.229 |      0.140587
 13.5 |     1.628 |     0.229 |      0.140587
 13.5 |     1.628 |     0.229 |      0.140587
 13.5 |     1.628 |     0.229 |      0.140587
 13.5 |     1.628 |     0.229 |      0.140587
 13.5 |     1.628 |     0.229 |      0.140587
 13.5 |     1.628 |     0.229 |      0.140587
 13.5 |     1.628 |     0.229 |      0.140587
 13.5 |     1.628 |     0.229 |      0.140587
 13.5 |     1.628 |     0.229 |      0.140587
 13.6 |     1.628 |     0.229 |      0.140587
 13.6 |     1.628 |     0.229 |      0.140587
 13.6 |     1.628 |     0.229 |      0.140587
 13.6 |     1.628 |     0.229 |      0.140587
 13.6 |     1.628 |     0.229 |      0.140587
 13.6 |     1.628 |     0.229 |      0.140587
 13.6 |     1.628 |     0.229 |      0.140587
 13.6 |     1.628 |     0.229 |      0.140587
 13.6 |     1.628 |     0.229 |      0.140587
 13.6 |     1.628 |     0.229 |      0.140587
 13.7 |     1.628 |     0.229 |      0.140587
 13.7 |     1.628 |     0.229 |      0.140587
 13.7 |     1.628 |     0.229 |      0.140587
 13.7 |     1.628 |     0.229 |      0.140587
 13.7 |     1.628 |     0.229 |      0.140587
 13.7 |     1.628 |     0.229 |      0.140587
 13.7 |     1.628 |     0.229 |      0.140587
 13.7 |     1.628 |     0.229 |      0.140587
 13.7 |     1.628 |     0.229 |      0.140587
 13.7 |     1.628 |     0.229 |      0.140587
 13.8 |     1.628 |     0.229 |      0.140587
 13.8 |     1.628 |     0.229 |      0.140587
 13.8 |     1.628 |     0.229 |      0.140587
 13.8 |     1.628 |     0.229 |      0.140587
 13.8 |     1.628 |     0.229 |      0.140587
 13.8 |     1.628 |     0.229 |      0.140587
 13.8 |     1.628 |     0.229 |      0.140587
 13.8 |     1.628 |     0.229 |      0.140587
 13.8 |     1.628 |     0.229 |      0.140587
 13.8 |     1.628 |     0.229 |      0.140587
 13.9 |     1.628 |     0.229 |      0.140587
 13.9 |     1.628 |     0.229 |      0.140587
