
 ----- CONTAMINATION RESULTS for Q2 = 8.5 -----

  Cut | 1pi Total | 2pi Total | Contamination
  0.9 |     0.000 |     0.000 |           nan
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.000 |     0.000 |      0.000000
  0.9 |     0.011 |     0.000 |      0.000000
  0.9 |     0.126 |     0.000 |      0.000000
  1.0 |     0.153 |     0.000 |      0.000020
  1.0 |     0.165 |     0.000 |      0.000035
  1.0 |     0.173 |     0.000 |      0.000034
  1.0 |     0.179 |     0.000 |      0.000099
  1.0 |     0.184 |     0.000 |      0.000169
  1.0 |     0.189 |     0.000 |      0.000243
  1.0 |     0.193 |     0.000 |      0.000288
  1.0 |     0.197 |     0.000 |      0.000591
  1.0 |     0.200 |     0.000 |      0.000958
  1.0 |     0.202 |     0.000 |      0.001269
  1.1 |     0.204 |     0.000 |      0.001755
  1.1 |     0.207 |     0.000 |      0.002284
  1.1 |     0.209 |     0.001 |      0.002680
  1.1 |     0.211 |     0.001 |      0.003148
  1.1 |     0.213 |     0.001 |      0.003672
  1.1 |     0.215 |     0.001 |      0.004386
  1.1 |     0.217 |     0.001 |      0.005020
  1.1 |     0.219 |     0.001 |      0.005658
  1.1 |     0.221 |     0.001 |      0.006443
  1.1 |     0.223 |     0.002 |      0.007226
  1.2 |     0.224 |     0.002 |      0.008119
  1.2 |     0.225 |     0.002 |      0.009101
  1.2 |     0.227 |     0.002 |      0.010110
  1.2 |     0.228 |     0.002 |      0.010872
  1.2 |     0.229 |     0.003 |      0.011899
  1.2 |     0.231 |     0.003 |      0.012852
  1.2 |     0.232 |     0.003 |      0.013841
  1.2 |     0.233 |     0.004 |      0.015057
  1.2 |     0.234 |     0.004 |      0.016071
  1.2 |     0.235 |     0.004 |      0.017206
  1.3 |     0.236 |     0.004 |      0.018399
  1.3 |     0.236 |     0.005 |      0.019498
  1.3 |     0.238 |     0.005 |      0.020613
  1.3 |     0.238 |     0.005 |      0.021761
  1.3 |     0.240 |     0.005 |      0.022940
  1.3 |     0.240 |     0.006 |      0.024066
  1.3 |     0.241 |     0.006 |      0.025410
  1.3 |     0.241 |     0.006 |      0.026597
  1.3 |     0.242 |     0.007 |      0.027693
  1.3 |     0.243 |     0.007 |      0.028970
  1.4 |     0.243 |     0.007 |      0.030291
  1.4 |     0.244 |     0.008 |      0.031641
  1.4 |     0.245 |     0.008 |      0.032662
  1.4 |     0.245 |     0.008 |      0.033864
  1.4 |     0.246 |     0.009 |      0.034951
  1.4 |     0.246 |     0.009 |      0.036137
  1.4 |     0.247 |     0.009 |      0.037046
  1.4 |     0.247 |     0.009 |      0.038158
  1.4 |     0.248 |     0.010 |      0.039150
  1.4 |     0.248 |     0.010 |      0.040156
  1.5 |     0.249 |     0.010 |      0.041118
  1.5 |     0.249 |     0.010 |      0.042106
  1.5 |     0.250 |     0.011 |      0.042889
  1.5 |     0.250 |     0.011 |      0.043867
  1.5 |     0.250 |     0.011 |      0.044646
  1.5 |     0.250 |     0.011 |      0.045514
  1.5 |     0.250 |     0.012 |      0.046196
  1.5 |     0.251 |     0.012 |      0.046887
  1.5 |     0.251 |     0.012 |      0.047639
  1.5 |     0.251 |     0.012 |      0.048229
  1.6 |     0.251 |     0.012 |      0.048909
  1.6 |     0.251 |     0.012 |      0.049400
  1.6 |     0.251 |     0.013 |      0.049809
  1.6 |     0.251 |     0.013 |      0.050341
  1.6 |     0.251 |     0.013 |      0.050740
  1.6 |     0.251 |     0.013 |      0.051183
  1.6 |     0.252 |     0.013 |      0.051534
  1.6 |     0.252 |     0.013 |      0.051920
  1.6 |     0.252 |     0.013 |      0.052161
  1.6 |     0.252 |     0.013 |      0.052343
  1.7 |     0.252 |     0.013 |      0.052548
  1.7 |     0.252 |     0.013 |      0.052679
  1.7 |     0.252 |     0.013 |      0.052794
  1.7 |     0.252 |     0.013 |      0.052969
  1.7 |     0.252 |     0.013 |      0.053044
  1.7 |     0.252 |     0.013 |      0.053096
  1.7 |     0.252 |     0.013 |      0.053140
  1.7 |     0.252 |     0.013 |      0.053197
  1.7 |     0.252 |     0.013 |      0.053220
  1.7 |     0.252 |     0.013 |      0.053240
  1.8 |     0.252 |     0.013 |      0.053249
  1.8 |     0.252 |     0.013 |      0.053250

